,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;
36892.0,13081.0,2634.0,2411.0,18126.0,10340.0,1870.0,1883.0,14093.0,5985.0,1497.0,1570.0,9052.0,2139.0,374.0,464.0,2977.0,3177.0,858.0,696.0,4731.0,644.0,132.0,178.0,954.0,244.0,119.0,118.0,481.0,763.0,116.0,107.0,986.0,36373.0,7600.0,7427.0,51400.0,15393.0,2982.0,3343.0,21718.0,12680.0,2212.0,2590.0,17483.0,7055.0,1754.0,2102.0,10910.0,2615.0,461.0,634.0,3710.0,3887.0,978.0,890.0,5755.0,869.0,153.0,245.0,1266.0,321.0,149.0,159.0,629.0,843.0,139.0,135.0,1118.0,43663.0,8828.0,10098.0,62589.0,16175.0,3381.0,3331.0,22887.0,12889.0,2327.0,2468.0,17684.0,7406.0,1881.0,2129.0,11415.0,2943.0,480.0,614.0,4036.0,3982.0,969.0,947.0,5899.0,846.0,164.0,237.0,1247.0,323.0,143.0,158.0,624.0,956.0,140.0,121.0,1218.0,45520.0,9486.0,10006.0,65011.0
36923.0,14465.0,3055.0,3077.0,20597.0,11668.0,2155.0,2183.0,16006.0,6771.0,1871.0,1978.0,10620.0,2600.0,417.0,529.0,3546.0,3519.0,835.0,863.0,5217.0,672.0,175.0,210.0,1057.0,243.0,99.0,127.0,469.0,843.0,135.0,112.0,1090.0,40781.0,8742.0,9079.0,58602.0,15476.0,3308.0,3349.0,22132.0,12366.0,2265.0,2356.0,16987.0,7082.0,1943.0,2095.0,11120.0,2699.0,432.0,592.0,3723.0,3778.0,865.0,871.0,5513.0,857.0,186.0,249.0,1292.0,263.0,118.0,147.0,528.0,904.0,144.0,124.0,1172.0,43425.0,9260.0,9783.0,62467.0,15835.0,3424.0,3310.0,22568.0,12715.0,2329.0,2473.0,17516.0,7210.0,1912.0,2141.0,11263.0,2866.0,480.0,620.0,3966.0,3870.0,962.0,945.0,5777.0,836.0,168.0,235.0,1239.0,305.0,139.0,158.0,602.0,922.0,144.0,124.0,1189.0,44559.0,9556.0,10005.0,64120.0
36951.0,16624.0,3888.0,3663.0,24175.0,13353.0,2678.0,2537.0,18568.0,7512.0,2233.0,2540.0,12285.0,3072.0,552.0,691.0,4315.0,4355.0,1087.0,1060.0,6502.0,746.0,197.0,242.0,1185.0,361.0,116.0,181.0,658.0,960.0,155.0,148.0,1263.0,46983.0,10906.0,11062.0,68951.0,15646.0,3584.0,3373.0,22602.0,12579.0,2417.0,2462.0,17457.0,6869.0,2008.0,2247.0,11124.0,2867.0,514.0,648.0,4030.0,3864.0,998.0,983.0,5845.0,810.0,182.0,245.0,1237.0,299.0,111.0,159.0,568.0,890.0,163.0,136.0,1189.0,43823.0,9977.0,10252.0,64051.0,15573.0,3422.0,3291.0,22286.0,12636.0,2302.0,2479.0,17416.0,7022.0,1917.0,2175.0,11114.0,2823.0,481.0,621.0,3925.0,3790.0,949.0,948.0,5688.0,819.0,170.0,229.0,1219.0,290.0,134.0,159.0,582.0,893.0,144.0,125.0,1162.0,43846.0,9518.0,10027.0,63391.0
36982.0,14027.0,3280.0,2849.0,20156.0,11444.0,2152.0,2370.0,15966.0,6314.0,1731.0,1944.0,9989.0,2558.0,444.0,555.0,3557.0,3329.0,897.0,871.0,5097.0,606.0,145.0,163.0,914.0,353.0,137.0,157.0,647.0,763.0,115.0,101.0,979.0,39394.0,8901.0,9010.0,57305.0,15717.0,3612.0,3244.0,22574.0,13126.0,2244.0,2619.0,17990.0,7151.0,2010.0,2228.0,11389.0,2904.0,508.0,620.0,4033.0,3824.0,1048.0,1032.0,5904.0,784.0,159.0,189.0,1131.0,305.0,160.0,167.0,633.0,874.0,135.0,118.0,1127.0,44686.0,9877.0,10218.0,64781.0,15440.0,3371.0,3295.0,22106.0,12657.0,2268.0,2495.0,17420.0,6867.0,1899.0,2223.0,10990.0,2815.0,483.0,620.0,3918.0,3745.0,929.0,960.0,5635.0,795.0,169.0,221.0,1185.0,281.0,130.0,161.0,572.0,870.0,141.0,126.0,1137.0,43470.0,9391.0,10102.0,62963.0
37012.0,16136.0,3698.0,3604.0,23438.0,12686.0,2456.0,2723.0,17865.0,6779.0,1889.0,2393.0,11061.0,2956.0,533.0,664.0,4153.0,3657.0,995.0,1073.0,5725.0,653.0,191.0,294.0,1138.0,315.0,134.0,172.0,621.0,991.0,145.0,124.0,1260.0,44173.0,10041.0,11047.0,65261.0,15555.0,3291.0,3178.0,22023.0,12277.0,2207.0,2468.0,16952.0,6674.0,1723.0,2218.0,10615.0,2873.0,484.0,599.0,3956.0,3626.0,909.0,936.0,5471.0,765.0,166.0,216.0,1146.0,248.0,113.0,164.0,524.0,917.0,130.0,115.0,1162.0,42936.0,9022.0,9894.0,61852.0,15426.0,3322.0,3337.0,22085.0,12726.0,2265.0,2526.0,17517.0,6763.0,1880.0,2277.0,10919.0,2833.0,488.0,620.0,3940.0,3720.0,914.0,980.0,5614.0,767.0,168.0,213.0,1147.0,280.0,128.0,165.0,573.0,851.0,138.0,127.0,1116.0,43366.0,9301.0,10245.0,62912.0
37043.0,17400.0,3590.0,4626.0,25616.0,14226.0,2468.0,3341.0,20035.0,8100.0,2218.0,3315.0,13633.0,3239.0,551.0,887.0,4677.0,4142.0,943.0,1329.0,6414.0,711.0,178.0,287.0,1176.0,371.0,200.0,191.0,762.0,933.0,142.0,169.0,1244.0,49122.0,10290.0,14145.0,73557.0,15155.0,3090.0,3405.0,21650.0,12872.0,2196.0,2473.0,17541.0,6721.0,1846.0,2298.0,10865.0,2821.0,459.0,618.0,3898.0,3622.0,750.0,970.0,5342.0,746.0,167.0,203.0,1116.0,286.0,134.0,152.0,571.0,814.0,127.0,131.0,1072.0,43036.0,8768.0,10250.0,62054.0,15450.0,3318.0,3403.0,22171.0,12739.0,2305.0,2572.0,17617.0,6713.0,1881.0,2322.0,10916.0,2853.0,495.0,626.0,3974.0,3701.0,909.0,1003.0,5613.0,744.0,168.0,207.0,1119.0,285.0,129.0,169.0,584.0,839.0,138.0,129.0,1105.0,43325.0,9342.0,10431.0,63097.0
37073.0,15936.0,3382.0,3532.0,22850.0,15192.0,2449.0,2663.0,20304.0,6793.0,1826.0,2253.0,10872.0,2865.0,479.0,634.0,3978.0,3626.0,835.0,930.0,5391.0,696.0,163.0,213.0,1072.0,307.0,120.0,183.0,610.0,815.0,157.0,136.0,1108.0,46230.0,9411.0,10544.0,66185.0,15551.0,3287.0,3523.0,22360.0,15303.0,2457.0,2667.0,20427.0,6814.0,1927.0,2477.0,11218.0,2868.0,514.0,665.0,4048.0,3796.0,924.0,1040.0,5760.0,753.0,167.0,223.0,1142.0,324.0,131.0,190.0,645.0,808.0,150.0,137.0,1096.0,46216.0,9556.0,10923.0,66696.0,15488.0,3357.0,3481.0,22326.0,12694.0,2376.0,2636.0,17705.0,6719.0,1908.0,2358.0,10985.0,2857.0,505.0,639.0,4001.0,3676.0,916.0,1022.0,5614.0,733.0,170.0,207.0,1110.0,295.0,130.0,173.0,598.0,832.0,142.0,131.0,1105.0,43295.0,9503.0,10647.0,63445.0
37104.0,15676.0,3459.0,3682.0,22817.0,13337.0,2544.0,2821.0,18702.0,6960.0,2044.0,2390.0,11394.0,2995.0,562.0,614.0,4171.0,3997.0,990.0,1024.0,6011.0,785.0,187.0,205.0,1177.0,260.0,128.0,198.0,586.0,851.0,142.0,147.0,1140.0,44861.0,10056.0,11081.0,65998.0,15506.0,3396.0,3645.0,22547.0,12876.0,2470.0,2723.0,18068.0,6509.0,1921.0,2404.0,10833.0,2863.0,522.0,615.0,4000.0,3774.0,977.0,1038.0,5788.0,714.0,175.0,203.0,1092.0,287.0,132.0,184.0,603.0,819.0,139.0,135.0,1093.0,43349.0,9730.0,10946.0,64025.0,15565.0,3425.0,3553.0,22544.0,12647.0,2453.0,2700.0,17801.0,6788.0,1956.0,2387.0,11130.0,2852.0,517.0,657.0,4026.0,3651.0,934.0,1037.0,5622.0,735.0,176.0,211.0,1122.0,305.0,129.0,176.0,611.0,831.0,147.0,132.0,1111.0,43376.0,9738.0,10853.0,63967.0
37135.0,14752.0,3134.0,3386.0,21272.0,11546.0,2115.0,2634.0,16295.0,6384.0,1829.0,2090.0,10303.0,2580.0,461.0,629.0,3670.0,3351.0,882.0,964.0,5197.0,720.0,148.0,176.0,1044.0,237.0,106.0,165.0,508.0,687.0,148.0,125.0,960.0,40257.0,8823.0,10169.0,59249.0,15985.0,3566.0,3703.0,23254.0,12302.0,2480.0,2827.0,17609.0,7038.0,2048.0,2355.0,11442.0,2856.0,534.0,713.0,4103.0,3541.0,1007.0,1120.0,5668.0,693.0,186.0,200.0,1079.0,297.0,122.0,186.0,604.0,809.0,159.0,135.0,1103.0,43522.0,10101.0,11238.0,64862.0,15722.0,3534.0,3609.0,22865.0,12644.0,2533.0,2754.0,17932.0,6951.0,2027.0,2417.0,11395.0,2874.0,533.0,677.0,4083.0,3658.0,960.0,1055.0,5673.0,750.0,185.0,216.0,1151.0,316.0,130.0,179.0,625.0,842.0,153.0,132.0,1127.0,43758.0,10055.0,11039.0,64851.0
37165.0,16468.0,3664.0,3403.0,23535.0,13174.0,2579.0,2688.0,18441.0,7038.0,2110.0,2282.0,11430.0,2995.0,539.0,614.0,4148.0,3788.0,963.0,975.0,5726.0,851.0,198.0,208.0,1257.0,326.0,149.0,143.0,618.0,935.0,178.0,112.0,1225.0,45575.0,10380.0,10425.0,66380.0,15638.0,3851.0,3538.0,23027.0,12240.0,2749.0,2711.0,17701.0,7046.0,2169.0,2395.0,11610.0,2869.0,553.0,676.0,4097.0,3616.0,1003.0,1009.0,5628.0,810.0,192.0,225.0,1226.0,344.0,142.0,146.0,632.0,869.0,166.0,123.0,1158.0,43431.0,10825.0,10824.0,65080.0,15914.0,3654.0,3638.0,23206.0,12700.0,2599.0,2799.0,18098.0,7175.0,2105.0,2456.0,11736.0,2918.0,550.0,698.0,4165.0,3695.0,991.0,1075.0,5761.0,772.0,193.0,221.0,1186.0,326.0,133.0,181.0,640.0,858.0,158.0,129.0,1145.0,44357.0,10383.0,11197.0,65936.0
37196.0,16830.0,4087.0,3750.0,24667.0,13743.0,2771.0,3030.0,19544.0,7539.0,2253.0,2713.0,12505.0,3176.0,582.0,757.0,4515.0,3969.0,1008.0,1141.0,6118.0,951.0,218.0,258.0,1427.0,326.0,127.0,217.0,670.0,976.0,182.0,158.0,1316.0,47510.0,11228.0,12024.0,70762.0,15661.0,3894.0,3555.0,23111.0,12574.0,2606.0,2906.0,18086.0,7424.0,2176.0,2511.0,12110.0,2925.0,566.0,732.0,4222.0,3679.0,963.0,1086.0,5728.0,792.0,208.0,249.0,1249.0,344.0,126.0,197.0,667.0,983.0,166.0,131.0,1280.0,44382.0,10704.0,11367.0,66452.0,16078.0,3749.0,3646.0,23473.0,12780.0,2648.0,2819.0,18246.0,7401.0,2170.0,2501.0,12072.0,2968.0,563.0,714.0,4245.0,3744.0,1021.0,1093.0,5857.0,793.0,200.0,226.0,1218.0,329.0,136.0,183.0,648.0,871.0,161.0,125.0,1157.0,44962.0,10647.0,11306.0,66915.0
37226.0,16252.0,3235.0,3492.0,22979.0,14286.0,2595.0,2621.0,19502.0,7626.0,1964.0,2455.0,12045.0,2989.0,598.0,792.0,4379.0,4562.0,996.0,1091.0,6649.0,1424.0,211.0,238.0,1873.0,261.0,117.0,193.0,571.0,793.0,142.0,98.0,1033.0,48193.0,9858.0,10980.0,69031.0,16937.0,3427.0,3718.0,24082.0,13727.0,2631.0,2820.0,19178.0,7797.0,2080.0,2614.0,12490.0,2990.0,574.0,744.0,4308.0,4500.0,1066.0,1102.0,6668.0,841.0,198.0,244.0,1283.0,318.0,129.0,197.0,643.0,783.0,148.0,115.0,1047.0,47893.0,10253.0,11553.0,69699.0,16182.0,3815.0,3652.0,23649.0,12850.0,2693.0,2817.0,18361.0,7589.0,2213.0,2553.0,12355.0,3004.0,572.0,728.0,4304.0,3783.0,1048.0,1108.0,5939.0,808.0,205.0,231.0,1244.0,324.0,139.0,185.0,648.0,876.0,163.0,121.0,1159.0,45416.0,10848.0,11396.0,67659.0
37257.0,14067.0,3594.0,2753.0,20414.0,11154.0,2480.0,2024.0,15658.0,6686.0,2097.0,1954.0,10737.0,2681.0,496.0,550.0,3727.0,3501.0,1044.0,936.0,5481.0,645.0,206.0,138.0,989.0,251.0,131.0,143.0,525.0,794.0,136.0,96.0,1026.0,39779.0,10184.0,8594.0,58557.0,16359.0,3921.0,3735.0,24016.0,13057.0,2712.0,2734.0,18503.0,7818.0,2336.0,2547.0,12702.0,3253.0,568.0,718.0,4539.0,4062.0,1036.0,1153.0,6251.0,821.0,221.0,183.0,1226.0,326.0,165.0,190.0,681.0,889.0,153.0,121.0,1164.0,46585.0,11113.0,11382.0,69080.0,16223.0,3863.0,3678.0,23764.0,12887.0,2739.0,2819.0,18446.0,7701.0,2236.0,2610.0,12547.0,3016.0,579.0,744.0,4338.0,3809.0,1081.0,1127.0,6018.0,814.0,208.0,239.0,1260.0,315.0,140.0,188.0,642.0,873.0,164.0,119.0,1155.0,45637.0,11009.0,11523.0,68170.0
37288.0,14940.0,3775.0,3393.0,22108.0,11918.0,2724.0,2694.0,17336.0,7346.0,2290.0,2616.0,12252.0,2892.0,589.0,687.0,4168.0,3879.0,1119.0,1161.0,6159.0,677.0,188.0,225.0,1090.0,281.0,117.0,155.0,553.0,843.0,180.0,106.0,1129.0,42776.0,10982.0,11037.0,64795.0,15875.0,4070.0,3703.0,23648.0,12310.0,2831.0,2912.0,18053.0,7692.0,2367.0,2763.0,12822.0,2966.0,605.0,767.0,4338.0,4040.0,1155.0,1183.0,6378.0,804.0,200.0,267.0,1271.0,305.0,137.0,178.0,621.0,897.0,191.0,116.0,1205.0,44889.0,11557.0,11890.0,68336.0,16206.0,3907.0,3719.0,23832.0,12844.0,2789.0,2834.0,18467.0,7722.0,2248.0,2659.0,12629.0,3003.0,586.0,761.0,4351.0,3813.0,1122.0,1145.0,6079.0,810.0,209.0,246.0,1266.0,305.0,138.0,189.0,632.0,868.0,164.0,119.0,1151.0,45571.0,11164.0,11672.0,68406.0
37316.0,16206.0,4059.0,3658.0,23923.0,12611.0,2944.0,2775.0,18330.0,7742.0,2268.0,2684.0,12694.0,2889.0,602.0,733.0,4224.0,3646.0,1133.0,1101.0,5880.0,636.0,201.0,256.0,1093.0,328.0,140.0,190.0,658.0,770.0,144.0,108.0,1022.0,44828.0,11491.0,11505.0,67824.0,15955.0,3950.0,3643.0,23548.0,12844.0,2817.0,2837.0,18497.0,7562.0,2195.0,2636.0,12393.0,2874.0,596.0,759.0,4229.0,3384.0,1152.0,1086.0,5622.0,767.0,202.0,271.0,1240.0,280.0,131.0,193.0,604.0,800.0,156.0,116.0,1072.0,44465.0,11201.0,11539.0,67206.0,16146.0,3949.0,3767.0,23862.0,12711.0,2841.0,2865.0,18418.0,7687.0,2258.0,2692.0,12637.0,2975.0,596.0,779.0,4351.0,3795.0,1159.0,1156.0,6109.0,803.0,210.0,253.0,1266.0,297.0,134.0,189.0,621.0,864.0,164.0,121.0,1149.0,45278.0,11311.0,11822.0,68411.0
37347.0,15044.0,3697.0,3687.0,22428.0,11789.0,2873.0,2588.0,17250.0,7143.0,1976.0,2552.0,11671.0,2727.0,517.0,741.0,3985.0,3452.0,1121.0,1069.0,5642.0,672.0,208.0,223.0,1103.0,321.0,113.0,190.0,624.0,904.0,155.0,124.0,1183.0,42052.0,10660.0,11174.0,63886.0,16110.0,3894.0,3834.0,23838.0,12500.0,2974.0,2726.0,18200.0,7643.0,2146.0,2693.0,12482.0,2950.0,572.0,771.0,4293.0,3762.0,1222.0,1189.0,6173.0,789.0,224.0,248.0,1260.0,272.0,120.0,184.0,576.0,905.0,163.0,124.0,1192.0,44930.0,11317.0,11768.0,68014.0,16043.0,3992.0,3816.0,23851.0,12557.0,2899.0,2906.0,18362.0,7645.0,2276.0,2717.0,12638.0,2950.0,609.0,794.0,4353.0,3762.0,1179.0,1157.0,6099.0,794.0,213.0,259.0,1267.0,295.0,131.0,188.0,614.0,863.0,165.0,125.0,1153.0,44910.0,11465.0,11962.0,68337.0
37377.0,16767.0,4535.0,4461.0,25763.0,12935.0,3130.0,3475.0,19540.0,7979.0,2505.0,3023.0,13507.0,2945.0,709.0,994.0,4648.0,3784.0,1239.0,1321.0,6344.0,737.0,251.0,355.0,1343.0,396.0,155.0,212.0,763.0,905.0,161.0,149.0,1215.0,46448.0,12685.0,13990.0,73123.0,16172.0,4116.0,3992.0,24279.0,12724.0,2908.0,3125.0,18757.0,7885.0,2351.0,2790.0,13025.0,2870.0,646.0,881.0,4397.0,3756.0,1147.0,1167.0,6070.0,822.0,226.0,261.0,1309.0,307.0,136.0,195.0,638.0,851.0,158.0,134.0,1142.0,45386.0,11687.0,12544.0,69617.0,15918.0,4041.0,3860.0,23819.0,12476.0,2952.0,2941.0,18370.0,7629.0,2311.0,2746.0,12686.0,2944.0,624.0,798.0,4365.0,3733.0,1181.0,1153.0,6066.0,785.0,219.0,265.0,1268.0,295.0,128.0,187.0,610.0,866.0,167.0,130.0,1163.0,44646.0,11622.0,12080.0,68348.0
37408.0,17782.0,4602.0,5112.0,27496.0,13183.0,3162.0,3951.0,20296.0,8469.0,2742.0,3824.0,15035.0,3342.0,714.0,1087.0,5143.0,4253.0,1519.0,1576.0,7348.0,673.0,210.0,411.0,1294.0,412.0,169.0,232.0,813.0,987.0,186.0,183.0,1356.0,49101.0,13304.0,16376.0,78781.0,15798.0,3949.0,3909.0,23657.0,12292.0,2866.0,3050.0,18209.0,7105.0,2318.0,2797.0,12220.0,3024.0,612.0,796.0,4431.0,3908.0,1211.0,1198.0,6316.0,759.0,195.0,304.0,1258.0,325.0,120.0,184.0,630.0,890.0,173.0,147.0,1210.0,44101.0,11445.0,12386.0,67931.0,15816.0,4089.0,3902.0,23807.0,12514.0,2986.0,2969.0,18470.0,7667.0,2362.0,2787.0,12816.0,2960.0,638.0,795.0,4393.0,3719.0,1170.0,1153.0,6042.0,770.0,226.0,270.0,1265.0,295.0,129.0,185.0,609.0,867.0,167.0,135.0,1170.0,44609.0,11767.0,12196.0,68572.0
37438.0,16440.0,4340.0,3863.0,24643.0,12652.0,3145.0,2924.0,18721.0,8404.0,2510.0,2548.0,13462.0,3049.0,666.0,742.0,4457.0,3498.0,1082.0,982.0,5562.0,709.0,246.0,219.0,1174.0,284.0,123.0,172.0,579.0,887.0,175.0,122.0,1184.0,45923.0,12287.0,11572.0,69782.0,15603.0,4152.0,3819.0,23574.0,12452.0,3126.0,2874.0,18452.0,7994.0,2524.0,2735.0,13254.0,2990.0,702.0,755.0,4447.0,3638.0,1154.0,1067.0,5859.0,769.0,249.0,215.0,1234.0,293.0,126.0,178.0,597.0,849.0,167.0,118.0,1134.0,44589.0,12200.0,11763.0,68552.0,15730.0,4124.0,3944.0,23798.0,12661.0,2998.0,2985.0,18644.0,7743.0,2415.0,2834.0,12993.0,2986.0,648.0,788.0,4421.0,3722.0,1150.0,1159.0,6031.0,750.0,233.0,273.0,1256.0,295.0,132.0,182.0,609.0,864.0,167.0,140.0,1171.0,44751.0,11866.0,12305.0,68922.0
37469.0,15329.0,4066.0,4061.0,23456.0,12699.0,3135.0,3108.0,18942.0,8210.0,2422.0,2884.0,13516.0,3108.0,658.0,771.0,4537.0,3883.0,1053.0,1166.0,6102.0,785.0,235.0,291.0,1311.0,262.0,143.0,192.0,597.0,846.0,183.0,157.0,1186.0,45122.0,11895.0,12630.0,69647.0,15762.0,4146.0,4031.0,23938.0,12677.0,3033.0,3102.0,18813.0,7962.0,2366.0,2908.0,13236.0,3016.0,636.0,787.0,4439.0,3761.0,1081.0,1196.0,6038.0,729.0,232.0,298.0,1259.0,298.0,149.0,186.0,633.0,847.0,178.0,152.0,1178.0,45053.0,11821.0,12661.0,69534.0,15654.0,4138.0,3984.0,23776.0,12871.0,2989.0,2997.0,18856.0,7830.0,2453.0,2887.0,13170.0,3004.0,650.0,783.0,4437.0,3733.0,1124.0,1177.0,6034.0,727.0,239.0,275.0,1242.0,297.0,136.0,177.0,610.0,860.0,169.0,145.0,1173.0,44976.0,11898.0,12425.0,69298.0
37500.0,14543.0,3865.0,3828.0,22236.0,13286.0,2660.0,2819.0,18765.0,7365.0,2329.0,2803.0,12497.0,2936.0,580.0,671.0,4187.0,3487.0,948.0,1058.0,5493.0,756.0,230.0,253.0,1239.0,223.0,118.0,166.0,507.0,800.0,154.0,156.0,1110.0,43396.0,10884.0,11754.0,66034.0,15140.0,4255.0,4051.0,23446.0,13460.0,3016.0,2846.0,19321.0,7778.0,2547.0,2987.0,13312.0,3079.0,649.0,734.0,4462.0,3559.0,1066.0,1169.0,5794.0,686.0,279.0,288.0,1254.0,270.0,136.0,173.0,580.0,895.0,169.0,159.0,1222.0,44869.0,12116.0,12406.0,69391.0,15598.0,4108.0,4027.0,23734.0,13086.0,2965.0,3016.0,19067.0,7906.0,2458.0,2939.0,13302.0,3009.0,648.0,786.0,4443.0,3744.0,1101.0,1202.0,6047.0,705.0,244.0,277.0,1226.0,300.0,137.0,175.0,613.0,854.0,171.0,148.0,1173.0,45203.0,11833.0,12569.0,69604.0
37530.0,16734.0,4007.0,3877.0,24618.0,14351.0,2813.0,3021.0,20185.0,8062.0,2505.0,2889.0,13456.0,3109.0,644.0,746.0,4499.0,4174.0,1177.0,1276.0,6627.0,707.0,237.0,259.0,1203.0,278.0,143.0,159.0,580.0,854.0,181.0,129.0,1164.0,48269.0,11707.0,12356.0,72332.0,15988.0,4138.0,3989.0,24116.0,13312.0,2815.0,3069.0,19196.0,8086.0,2506.0,3001.0,13593.0,2984.0,640.0,806.0,4429.0,3884.0,1180.0,1286.0,6350.0,673.0,218.0,274.0,1165.0,297.0,142.0,163.0,602.0,820.0,162.0,143.0,1125.0,46044.0,11802.0,12731.0,70576.0,15571.0,4022.0,4067.0,23660.0,13251.0,2931.0,3051.0,19233.0,7955.0,2432.0,2978.0,13365.0,3022.0,646.0,795.0,4464.0,3769.0,1084.0,1229.0,6083.0,691.0,246.0,274.0,1210.0,308.0,137.0,175.0,620.0,849.0,173.0,150.0,1171.0,45415.0,11670.0,12720.0,69806.0
37561.0,16359.0,3799.0,4191.0,24349.0,13857.0,2798.0,3174.0,19829.0,7849.0,2300.0,3075.0,13224.0,3134.0,641.0,866.0,4641.0,4012.0,1054.0,1254.0,6320.0,869.0,232.0,297.0,1398.0,310.0,134.0,184.0,628.0,839.0,176.0,171.0,1186.0,47229.0,11134.0,13212.0,71575.0,15728.0,3849.0,4149.0,23726.0,13405.0,2879.0,3199.0,19483.0,8057.0,2357.0,3011.0,13425.0,3023.0,669.0,864.0,4556.0,3871.0,1074.0,1264.0,6209.0,713.0,238.0,293.0,1244.0,340.0,133.0,179.0,653.0,841.0,165.0,154.0,1159.0,45978.0,11364.0,13113.0,70455.0,15572.0,3918.0,4100.0,23590.0,13319.0,2895.0,3107.0,19321.0,7988.0,2400.0,3006.0,13393.0,3055.0,652.0,810.0,4517.0,3820.0,1078.0,1254.0,6152.0,691.0,245.0,268.0,1204.0,318.0,136.0,178.0,632.0,847.0,174.0,152.0,1173.0,45610.0,11498.0,12875.0,69983.0
37591.0,14802.0,3541.0,3398.0,21741.0,13837.0,2915.0,2954.0,19706.0,7651.0,2201.0,2820.0,12672.0,3062.0,636.0,833.0,4531.0,3796.0,931.0,1262.0,5989.0,1063.0,293.0,228.0,1584.0,279.0,132.0,174.0,585.0,827.0,202.0,136.0,1165.0,45317.0,10851.0,11805.0,67973.0,15394.0,3630.0,3493.0,22517.0,13551.0,2886.0,3088.0,19524.0,7899.0,2274.0,2948.0,13121.0,3023.0,594.0,798.0,4415.0,3832.0,972.0,1238.0,6043.0,693.0,258.0,233.0,1183.0,338.0,134.0,177.0,650.0,811.0,190.0,153.0,1154.0,45541.0,10937.0,12127.0,68606.0,15610.0,3847.0,4119.0,23576.0,13325.0,2872.0,3171.0,19368.0,8049.0,2382.0,3024.0,13455.0,3117.0,667.0,822.0,4606.0,3880.0,1085.0,1269.0,6235.0,705.0,243.0,266.0,1214.0,331.0,135.0,182.0,648.0,848.0,175.0,155.0,1179.0,45866.0,11408.0,13008.0,70282.0
