Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,Total area actually reporting,0.998,500.0,3.0,60.0,62.0,375.0,6016.0,975.0,4656.0,385.0
,Estimated total,1.0,500.0,3.0,60.0,62.0,375.0,6029.0,977.0,4666.0,386.0
,"Rate per 100,000 inhabitants",,250.5,1.5,30.1,31.1,187.8,3020.1,489.4,2337.3,193.4
"Memphis, TN-MS-AR M.S.A.",,1295670.0,,,,,,,,,
,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN",,,,,,,,,,
,City of Memphis,669264.0,13055.0,128.0,452.0,4870.0,7605.0,53959.0,14613.0,33146.0,6200.0
,Total area actually reporting,0.939,15600.0,150.0,588.0,5376.0,9486.0,71775.0,19271.0,44954.0,7550.0
,Estimated total,1.0,15780.0,154.0,610.0,5424.0,9592.0,74370.0,19933.0,46694.0,7743.0
,"Rate per 100,000 inhabitants",,1217.9,11.9,47.1,418.6,740.3,5739.9,1538.4,3603.8,597.6
"Merced, CA M.S.A.",,249018.0,,,,,,,,,
,Includes Merced County,,,,,,,,,,
,City of Merced,78186.0,611.0,7.0,28.0,152.0,424.0,3821.0,836.0,2531.0,454.0
,Total area actually reporting,1.0,1463.0,17.0,79.0,242.0,1125.0,9306.0,2434.0,5608.0,1264.0
,"Rate per 100,000 inhabitants",,587.5,6.8,31.7,97.2,451.8,3737.1,977.4,2252.0,507.6
"Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",,5480920.0,,,,,,,,,
,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach",,,,,,,,,,
,City of Miami,410252.0,6119.0,78.0,57.0,2537.0,3447.0,21183.0,4829.0,12478.0,3876.0
,City of Fort Lauderdale,187995.0,1523.0,25.0,56.0,736.0,706.0,9712.0,2266.0,6581.0,865.0
,City of Pompano Beach,104989.0,1310.0,10.0,63.0,452.0,785.0,5369.0,1139.0,3603.0,627.0
,City of West Palm Beach,101322.0,1158.0,12.0,43.0,574.0,529.0,7255.0,1594.0,4748.0,913.0
,City of Miami Beach,86742.0,1072.0,4.0,58.0,448.0,562.0,7805.0,1354.0,5607.0,844.0
,City of Boca Raton,86868.0,236.0,5.0,16.0,83.0,132.0,3441.0,675.0,2596.0,170.0
,City of Deerfield Beach,76469.0,500.0,4.0,26.0,144.0,326.0,2527.0,571.0,1707.0,249.0
,City of Boynton Beach,69469.0,730.0,6.0,5.0,199.0,520.0,3578.0,798.0,2507.0,273.0
,City of Delray Beach,65262.0,719.0,3.0,22.0,223.0,471.0,3553.0,753.0,2504.0,296.0
,Total area actually reporting,1.0,43956.0,429.0,1598.0,16075.0,25854.0,256039.0,54562.0,171808.0,29669.0
,"Rate per 100,000 inhabitants",,802.0,7.8,29.2,293.3,471.7,4671.5,995.5,3134.7,541.3
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",,1795143.0,,,,,,,,,
,Includes Broward County,,,,,,,,,,
,Total area actually reporting,1.0,10893.0,105.0,472.0,4051.0,6265.0,68939.0,14183.0,47763.0,6993.0
,"Rate per 100,000 inhabitants",,606.8,5.8,26.3,225.7,349.0,3840.3,790.1,2660.7,389.6
"Miami-Miami Beach-Kendall, FL M.D.",,2401971.0,,,,,,,,,
,Includes Miami-Dade County,,,,,,,,,,
,Total area actually reporting,1.0,23740.0,228.0,725.0,8872.0,13915.0,131310.0,26713.0,87420.0,17177.0
,"Rate per 100,000 inhabitants",,988.4,9.5,30.2,369.4,579.3,5466.8,1112.1,3639.5,715.1
"West Palm Beach-Boca Raton-Boynton Beach, FL M.D.",,1283806.0,,,,,,,,,
,Includes Palm Beach County,,,,,,,,,,
,Total area actually reporting,1.0,9323.0,96.0,401.0,3152.0,5674.0,55790.0,13666.0,36625.0,5499.0
,"Rate per 100,000 inhabitants",,726.2,7.5,31.2,245.5,442.0,4345.7,1064.5,2852.8,428.3
"Michigan City-La Porte, IN M.S.A.",,110465.0,,,,,,,,,
,Includes La Porte County,,,,,,,,,,
,City of Michigan City,32008.0,146.0,3.0,14.0,82.0,47.0,1928.0,306.0,1435.0,187.0
,City of La Porte,21178.0,31.0,0.0,5.0,15.0,11.0,1462.0,175.0,1217.0,70.0
,Total area actually reporting,0.968,206.0,7.0,25.0,99.0,75.0,4302.0,736.0,3244.0,322.0
,Estimated total,1.0,215.0,7.0,26.0,102.0,80.0,4437.0,756.0,3348.0,333.0
,"Rate per 100,000 inhabitants",,194.6,6.3,23.5,92.3,72.4,4016.7,684.4,3030.8,301.5
"Midland, TX M.S.A.",,125645.0,,,,,,,,,
,Includes Midland County,,,,,,,,,,
,City of Midland,102877.0,343.0,4.0,57.0,76.0,206.0,3666.0,833.0,2625.0,208.0
,Total area actually reporting,1.0,438.0,4.0,68.0,82.0,284.0,4311.0,1036.0,3043.0,232.0
,"Rate per 100,000 inhabitants",,348.6,3.2,54.1,65.3,226.0,3431.1,824.5,2421.9,184.6
"Milwaukee-Waukesha-West Allis, WI M.S.A.",,1516093.0,,,,,,,,,
,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties",,,,,,,,,,
,City of Milwaukee,572938.0,8040.0,105.0,236.0,3529.0,4170.0,38199.0,6203.0,24248.0,7748.0
,City of Waukesha,68162.0,84.0,0.0,12.0,23.0,49.0,1405.0,348.0,990.0,67.0
,City of West Allis,58366.0,220.0,2.0,9.0,91.0,118.0,3062.0,584.0,2290.0,188.0
,Total area actually reporting,1.0,9230.0,110.0,349.0,3974.0,4797.0,60572.0,9365.0,42423.0,8784.0
,"Rate per 100,000 inhabitants",,608.8,7.3,23.0,262.1,316.4,3995.3,617.7,2798.2,579.4
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.5",,3202517.0,,,,,,,,,
,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN5 and Pierce and St. Croix Counties, WI",,,,,,,,,,
,"City of Minneapolis, MN",371240.0,5580.0,47.0,452.0,2520.0,2561.0,22543.0,6164.0,13203.0,3176.0
,"City of St. Paul, MN",271662.0,2327.0,14.0,173.0,777.0,1363.0,11118.0,2696.0,6346.0,2076.0
,"City of Bloomington, MN5",80218.0,,0.0,,51.0,61.0,3210.0,356.0,2674.0,180.0
,"City of Plymouth, MN5",70737.0,,0.0,,9.0,32.0,1359.0,304.0,995.0,60.0
,"City of Eagan, MN5",63718.0,,0.0,,15.0,28.0,1515.0,188.0,1276.0,51.0
,"City of Eden Prairie, MN5",61910.0,,0.0,,13.0,28.0,1475.0,190.0,1254.0,31.0
,"City of Minnetonka, MN5",49751.0,,0.0,,14.0,21.0,1014.0,196.0,776.0,42.0
,Total area actually reporting,0.962,,88.0,,4302.0,6014.0,108499.0,20226.0,78577.0,9696.0
,Estimated total,1.0,,90.0,,4362.0,6129.0,112527.0,20818.0,81775.0,9934.0
,"Rate per 100,000 inhabitants",,,2.8,,136.2,191.4,3513.7,650.1,2553.5,310.2
"Missoula, MT M.S.A.",,102898.0,,,,,,,,,
,Includes Missoula County,,,,,,,,,,
,City of Missoula,65037.0,218.0,1.0,23.0,36.0,158.0,2935.0,255.0,2541.0,139.0
,Total area actually reporting,1.0,305.0,1.0,36.0,38.0,230.0,3547.0,379.0,2971.0,197.0
,"Rate per 100,000 inhabitants",,296.4,1.0,35.0,36.9,223.5,3447.1,368.3,2887.3,191.5
"Mobile, AL M.S.A.",,405259.0,,,,,,,,,
,Includes Mobile County,,,,,,,,,,
,City of Mobile6,253842.0,1144.0,38.0,23.0,750.0,333.0,14136.0,3650.0,9361.0,1125.0
,Total area actually reporting,0.968,1764.0,61.0,70.0,946.0,687.0,19380.0,5110.0,12550.0,1720.0
,Estimated total,1.0,1818.0,62.0,74.0,965.0,717.0,19939.0,5228.0,12952.0,1759.0
,"Rate per 100,000 inhabitants",,448.6,15.3,18.3,238.1,176.9,4920.1,1290.0,3196.0,434.0
"Modesto, CA M.S.A.",,517721.0,,,,,,,,,
,Includes Stanislaus County,,,,,,,,,,
,City of Modesto,208067.0,1490.0,11.0,65.0,452.0,962.0,12030.0,2216.0,7850.0,1964.0
,Total area actually reporting,1.0,3207.0,27.0,139.0,826.0,2215.0,25421.0,5971.0,14712.0,4738.0
,"Rate per 100,000 inhabitants",,619.4,5.2,26.8,159.5,427.8,4910.2,1153.3,2841.7,915.2
"Monroe, LA M.S.A.",,172092.0,,,,,,,,,
,Includes Ouachita and Union Parishes,,,,,,,,,,
,City of Monroe,51350.0,343.0,1.0,20.0,101.0,221.0,5096.0,1141.0,3792.0,163.0
,Total area actually reporting,0.988,747.0,4.0,42.0,155.0,546.0,9657.0,2490.0,6796.0,371.0
,Estimated total,1.0,761.0,4.0,43.0,157.0,557.0,9768.0,2511.0,6880.0,377.0
,"Rate per 100,000 inhabitants",,442.2,2.3,25.0,91.2,323.7,5676.0,1459.1,3997.9,219.1
"Monroe, MI M.S.A.",,155523.0,,,,,,,,,
,Includes Monroe County,,,,,,,,,,
,City of Monroe,21787.0,70.0,0.0,7.0,23.0,40.0,709.0,125.0,539.0,45.0
,Total area actually reporting,1.0,293.0,1.0,35.0,63.0,194.0,3270.0,740.0,2263.0,267.0
,"Rate per 100,000 inhabitants",,188.4,0.6,22.5,40.5,124.7,2102.6,475.8,1455.1,171.7
"Montgomery, AL M.S.A.",,364491.0,,,,,,,,,
,"Includes Autauga, Elmore, Lowndes, and Montgomery Counties",,,,,,,,,,
,City of Montgomery,202062.0,1157.0,46.0,54.0,652.0,405.0,12843.0,3317.0,8579.0,947.0
,Total area actually reporting,0.83,1427.0,49.0,80.0,731.0,567.0,16246.0,4208.0,10870.0,1168.0
,Estimated total,1.0,1616.0,52.0,94.0,781.0,689.0,17984.0,4685.0,11982.0,1317.0
,"Rate per 100,000 inhabitants",,443.4,14.3,25.8,214.3,189.0,4934.0,1285.4,3287.3,361.3
"Morgantown, WV M.S.A.",,115156.0,,,,,,,,,
,Includes Monongalia and Preston Counties,,,,,,,,,,
,City of Morgantown,28951.0,99.0,1.0,27.0,29.0,42.0,1025.0,248.0,745.0,32.0
,Total area actually reporting,0.96,210.0,3.0,40.0,46.0,121.0,2605.0,548.0,1934.0,123.0
,Estimated total,1.0,220.0,3.0,41.0,48.0,128.0,2748.0,572.0,2044.0,132.0
,"Rate per 100,000 inhabitants",,191.0,2.6,35.6,41.7,111.2,2386.3,496.7,1775.0,114.6
"Morristown, TN M.S.A.",,135710.0,,,,,,,,,
,"Includes Grainger, Hamblen, and Jefferson Counties",,,,,,,,,,
,City of Morristown,27147.0,264.0,1.0,23.0,65.0,175.0,1905.0,224.0,1572.0,109.0
,Total area actually reporting,1.0,601.0,5.0,45.0,97.0,454.0,4946.0,1130.0,3504.0,312.0
,"Rate per 100,000 inhabitants",,442.9,3.7,33.2,71.5,334.5,3644.5,832.7,2582.0,229.9
"Mount Vernon-Anacortes, WA M.S.A.",,117546.0,,,,,,,,,
,Includes Skagit County,,,,,,,,,,
,City of Mount Vernon,30521.0,77.0,0.0,12.0,30.0,35.0,2324.0,294.0,1866.0,164.0
,City of Anacortes,16948.0,17.0,1.0,2.0,1.0,13.0,568.0,95.0,448.0,25.0
,Total area actually reporting,1.0,228.0,2.0,42.0,67.0,117.0,6653.0,1201.0,4969.0,483.0
,"Rate per 100,000 inhabitants",,194.0,1.7,35.7,57.0,99.5,5659.9,1021.7,4227.3,410.9
"Muncie, IN M.S.A.",,114292.0,,,,,,,,,
,Includes Delaware County,,,,,,,,,,
,City of Muncie,64921.0,375.0,1.0,50.0,60.0,264.0,2652.0,581.0,1932.0,139.0
,Total area actually reporting,1.0,417.0,1.0,63.0,67.0,286.0,3575.0,756.0,2630.0,189.0
,"Rate per 100,000 inhabitants",,364.9,0.9,55.1,58.6,250.2,3128.0,661.5,2301.1,165.4
"Muskegon-Norton Shores, MI M.S.A.",,175119.0,,,,,,,,,
,Includes Muskegon County,,,,,,,,,,
,City of Muskegon,39562.0,389.0,0.0,35.0,77.0,277.0,2252.0,396.0,1693.0,163.0
,City of Norton Shores,23567.0,59.0,0.0,7.0,11.0,41.0,958.0,135.0,790.0,33.0
,Total area actually reporting,1.0,880.0,1.0,113.0,165.0,601.0,7730.0,1291.0,5997.0,442.0
,"Rate per 100,000 inhabitants",,502.5,0.6,64.5,94.2,343.2,4414.1,737.2,3424.5,252.4
"Myrtle Beach-North Myrtle Beach-Conway, SC M.S.A.",,247229.0,,,,,,,,,
,Includes Horry County,,,,,,,,,,
,City of Myrtle Beach,29361.0,506.0,2.0,49.0,222.0,233.0,5488.0,1011.0,3998.0,479.0
,City of North Myrtle Beach,15577.0,57.0,0.0,3.0,17.0,37.0,1576.0,291.0,1264.0,21.0
,City of Conway,14285.0,219.0,1.0,7.0,54.0,157.0,1412.0,310.0,1012.0,90.0
,Total area actually reporting,1.0,2344.0,12.0,140.0,480.0,1712.0,17051.0,3604.0,11943.0,1504.0
,"Rate per 100,000 inhabitants",,948.1,4.9,56.6,194.2,692.5,6896.8,1457.8,4830.7,608.3
"Napa, CA M.S.A.",,133808.0,,,,,,,,,
,Includes Napa County,,,,,,,,,,
,City of Napa,75266.0,288.0,3.0,16.0,58.0,211.0,2351.0,463.0,1677.0,211.0
,Total area actually reporting,1.0,460.0,6.0,29.0,82.0,343.0,3723.0,807.0,2550.0,366.0
,"Rate per 100,000 inhabitants",,343.8,4.5,21.7,61.3,256.3,2782.3,603.1,1905.7,273.5
"Naples-Marco Island, FL M.S.A.",,321589.0,,,,,,,,,
,Includes Collier County,,,,,,,,,,
,City of Naples,22109.0,49.0,0.0,2.0,9.0,38.0,858.0,126.0,713.0,19.0
,City of Marco Island,16235.0,17.0,1.0,1.0,0.0,15.0,172.0,22.0,142.0,8.0
,Total area actually reporting,1.0,1363.0,16.0,61.0,242.0,1044.0,6093.0,1485.0,4216.0,392.0
,"Rate per 100,000 inhabitants",,423.8,5.0,19.0,75.3,324.6,1894.7,461.8,1311.0,121.9
"Nashville-Davidson—Murfreesboro—Franklin, TN M.S.A.",,1492983.0,,,,,,,,,
,"Includes Cannon, Cheatham, Davidson, Dickson, Hickman, Macon, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties",,,,,,,,,,
,City of Nashville,564169.0,8513.0,73.0,290.0,2516.0,5634.0,31466.0,6111.0,22729.0,2626.0
,City of Murfreesboro,96264.0,691.0,4.0,29.0,137.0,521.0,4186.0,929.0,3028.0,229.0
,City of Franklin,57489.0,106.0,2.0,13.0,18.0,73.0,1024.0,125.0,849.0,50.0
,Total area actually reporting,1.0,12193.0,102.0,553.0,2970.0,8568.0,54818.0,11414.0,39102.0,4302.0
,"Rate per 100,000 inhabitants",,816.7,6.8,37.0,198.9,573.9,3671.7,764.5,2619.1,288.1
"New Orleans-Metairie-Kenner, LA M.S.A.",,1026639.0,,,,,,,,,
,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. John the Baptist, and St. Tammany Parishes",,,,,,,,,,
,City of New Orleans,220614.0,3451.0,209.0,115.0,1154.0,1973.0,15583.0,5039.0,7354.0,3190.0
,City of Kenner,66473.0,388.0,10.0,14.0,124.0,240.0,2760.0,597.0,1859.0,304.0
,Total area actually reporting,0.999,7933.0,289.0,307.0,2205.0,5132.0,46382.0,12409.0,27422.0,6551.0
,Estimated total,1.0,7938.0,289.0,307.0,2206.0,5136.0,46419.0,12416.0,27450.0,6553.0
,"Rate per 100,000 inhabitants",,773.2,28.2,29.9,214.9,500.3,4521.5,1209.4,2673.8,638.3
"New York-Northern New Jersey-Long Island, NY-NJ-PA M.S.A.",,18796306.0,,,,,,,,,
,"Includes the Metropolitan Divisions of Edison, NJ; Nassau-Suffolk County, NY; Newark-Union, NJ-PA; and New York-Wayne-White Plains, NY-NJ",,,,,,,,,,
,"City of New York, NY",8220196.0,50453.0,496.0,875.0,21787.0,27295.0,149488.0,20914.0,115318.0,13256.0
,"City of Newark, NJ",280158.0,2389.0,104.0,60.0,1101.0,1124.0,10664.0,1914.0,4385.0,4365.0
,"City of Edison Township, NJ",99082.0,225.0,0.0,0.0,86.0,139.0,2239.0,437.0,1578.0,224.0
,"City of White Plains, NY",57638.0,114.0,0.0,4.0,27.0,83.0,1108.0,45.0,1025.0,38.0
,"City of Union Township, NJ",54795.0,144.0,0.0,1.0,69.0,74.0,1331.0,205.0,935.0,191.0
,"City of Wayne Township, NJ",54606.0,40.0,0.0,0.0,18.0,22.0,1413.0,185.0,1175.0,53.0
,"City of New Brunswick, NJ",49950.0,283.0,2.0,25.0,169.0,87.0,1883.0,448.0,1273.0,162.0
,Total area actually reporting,0.998,77792.0,839.0,1855.0,33784.0,41314.0,343929.0,54835.0,253778.0,35316.0
,Estimated total,1.0,77864.0,840.0,1859.0,33808.0,41357.0,344687.0,54951.0,254385.0,35351.0
,"Rate per 100,000 inhabitants",,414.3,4.5,9.9,179.9,220.0,1833.8,292.3,1353.4,188.1
"Edison-New Brunswick, NJ M.D.",,2298551.0,,,,,,,,,
,"Includes Middlesex, Monmouth, Ocean, and Somerset Counties",,,,,,,,,,
,Total area actually reporting,1.0,3827.0,37.0,198.0,1480.0,2112.0,43083.0,7730.0,32760.0,2593.0
,"Rate per 100,000 inhabitants",,166.5,1.6,8.6,64.4,91.9,1874.4,336.3,1425.2,112.8
"Nassau-Suffolk, NY M.D.",,2792682.0,,,,,,,,,
,Includes Nassau and Suffolk Counties,,,,,,,,,,
,Total area actually reporting,0.999,4959.0,54.0,205.0,2005.0,2695.0,45985.0,6471.0,35664.0,3850.0
,Estimated total,1.0,4962.0,54.0,205.0,2006.0,2697.0,46022.0,6477.0,35693.0,3852.0
,"Rate per 100,000 inhabitants",,177.7,1.9,7.3,71.8,96.6,1647.9,231.9,1278.1,137.9
"Newark-Union, NJ-PA M.D.",,2145195.0,,,,,,,,,
,"Includes Essex, Hunterdon, Morris, Sussex, and Union Counties, NJ and Pike County, PA",,,,,,,,,,
,Total area actually reporting,1.0,8129.0,177.0,282.0,3936.0,3734.0,47300.0,9032.0,28349.0,9919.0
,"Rate per 100,000 inhabitants",,378.9,8.3,13.1,183.5,174.1,2204.9,421.0,1321.5,462.4
"New York-White Plains-Wayne, NY-NJ M.D.",,11559878.0,,,,,,,,,
,"Includes Bergen, Hudson, and Passaic Counties, NJ and Bronx, Kings, New York, Putnam, Queens, Richmond, Rockland, and Westchester Counties, NY",,,,,,,,,,
,Total area actually reporting,0.997,60877.0,571.0,1170.0,26363.0,32773.0,207561.0,31602.0,157005.0,18954.0
,Estimated total,1.0,60946.0,572.0,1174.0,26386.0,32814.0,208282.0,31712.0,157583.0,18987.0
,"Rate per 100,000 inhabitants",,527.2,4.9,10.2,228.3,283.9,1801.8,274.3,1363.2,164.2
"Niles-Benton Harbor, MI M.S.A.",,160825.0,,,,,,,,,
,Includes Berrien County,,,,,,,,,,
,City of Niles,11491.0,52.0,0.0,8.0,14.0,30.0,487.0,73.0,390.0,24.0
,City of Benton Harbor,10567.0,137.0,0.0,6.0,28.0,103.0,285.0,135.0,126.0,24.0
,Total area actually reporting,0.973,701.0,0.0,97.0,105.0,499.0,4919.0,963.0,3685.0,271.0
,Estimated total,1.0,714.0,0.0,98.0,108.0,508.0,5046.0,987.0,3775.0,284.0
,"Rate per 100,000 inhabitants",,444.0,0.0,60.9,67.2,315.9,3137.6,613.7,2347.3,176.6
"Ocala, FL M.S.A.",,322272.0,,,,,,,,,
,Includes Marion County,,,,,,,,,,
,City of Ocala,53490.0,633.0,6.0,40.0,178.0,409.0,3444.0,747.0,2503.0,194.0
,Total area actually reporting,1.0,2163.0,14.0,152.0,275.0,1722.0,9004.0,2489.0,5931.0,584.0
,"Rate per 100,000 inhabitants",,671.2,4.3,47.2,85.3,534.3,2793.9,772.3,1840.4,181.2
"Ocean City, NJ M.S.A.",,97291.0,,,,,,,,,
,Includes Cape May County,,,,,,,,,,
,City of Ocean City,15057.0,28.0,0.0,3.0,19.0,6.0,1153.0,183.0,961.0,9.0
,Total area actually reporting,1.0,353.0,1.0,26.0,105.0,221.0,4854.0,945.0,3779.0,130.0
,"Rate per 100,000 inhabitants",,362.8,1.0,26.7,107.9,227.2,4989.2,971.3,3884.2,133.6
"Odessa, TX M.S.A.",,128400.0,,,,,,,,,
,Includes Ector County,,,,,,,,,,
,City of Odessa,95839.0,529.0,6.0,7.0,92.0,424.0,4302.0,870.0,3144.0,288.0
,Total area actually reporting,1.0,601.0,8.0,17.0,104.0,472.0,5523.0,1142.0,3983.0,398.0
,"Rate per 100,000 inhabitants",,468.1,6.2,13.2,81.0,367.6,4301.4,889.4,3102.0,310.0
"Ogden-Clearfield, UT M.S.A.",,514786.0,,,,,,,,,
,"Includes Davis, Morgan, and Weber Counties",,,,,,,,,,
,City of Ogden,78160.0,501.0,3.0,33.0,136.0,329.0,4914.0,923.0,3466.0,525.0
,City of Clearfield,27419.0,42.0,0.0,11.0,7.0,24.0,867.0,112.0,710.0,45.0
,Total area actually reporting,1.0,955.0,5.0,150.0,211.0,589.0,15371.0,2649.0,11680.0,1042.0
,"Rate per 100,000 inhabitants",,185.5,1.0,29.1,41.0,114.4,2985.9,514.6,2268.9,202.4
"Oklahoma City, OK M.S.A.",,1189823.0,,,,,,,,,
,"Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties",,,,,,,,,,
,City of Oklahoma City,542199.0,4612.0,58.0,326.0,1397.0,2831.0,31949.0,8110.0,19228.0,4611.0
,Total area actually reporting,1.0,6151.0,77.0,508.0,1678.0,3888.0,51334.0,12770.0,32533.0,6031.0
,"Rate per 100,000 inhabitants",,517.0,6.5,42.7,141.0,326.8,4314.4,1073.3,2734.3,506.9
"Olympia, WA M.S.A.",,238675.0,,,,,,,,,
,Includes Thurston County,,,,,,,,,,
,City of Olympia,44946.0,118.0,0.0,28.0,27.0,63.0,2023.0,296.0,1493.0,234.0
,Total area actually reporting,1.0,502.0,6.0,68.0,88.0,340.0,7360.0,1530.0,5082.0,748.0
,"Rate per 100,000 inhabitants",,210.3,2.5,28.5,36.9,142.5,3083.7,641.0,2129.3,313.4
"Omaha-Council Bluffs, NE-IA M.S.A.",,829460.0,,,,,,,,,
,"Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders, and Washington Counties, NE",,,,,,,,,,
,"City of Omaha, NE",431810.0,2578.0,42.0,189.0,818.0,1529.0,20657.0,3345.0,13876.0,3436.0
,"City of Council Bluffs, IA",60531.0,455.0,2.0,76.0,78.0,299.0,4698.0,878.0,3288.0,532.0
,Total area actually reporting,1.0,3413.0,47.0,312.0,944.0,2110.0,32267.0,5401.0,22366.0,4500.0
,"Rate per 100,000 inhabitants",,411.5,5.7,37.6,113.8,254.4,3890.1,651.1,2696.5,542.5
"Orlando-Kissimmee, FL M.S.A.",,2020346.0,,,,,,,,,
,"Includes Lake, Orange, Osceola, and Seminole Counties",,,,,,,,,,
,City of Orlando,224417.0,4269.0,39.0,162.0,1534.0,2534.0,19181.0,4164.0,12778.0,2239.0
,City of Kissimmee,62880.0,576.0,4.0,12.0,188.0,372.0,2786.0,886.0,1658.0,242.0
,Total area actually reporting,1.0,17074.0,146.0,813.0,5361.0,10754.0,88105.0,23561.0,54653.0,9891.0
,"Rate per 100,000 inhabitants",,845.1,7.2,40.2,265.4,532.3,4360.9,1166.2,2705.1,489.6
"Oshkosh-Neenah, WI M.S.A.",,161620.0,,,,,,,,,
,Includes Winnebago County,,,,,,,,,,
,City of Oshkosh,64183.0,209.0,2.0,10.0,31.0,166.0,2378.0,392.0,1925.0,61.0
,City of Neenah,24871.0,56.0,0.0,4.0,1.0,51.0,499.0,92.0,389.0,18.0
,Total area actually reporting,1.0,373.0,2.0,26.0,40.0,305.0,4146.0,798.0,3224.0,124.0
,"Rate per 100,000 inhabitants",,230.8,1.2,16.1,24.7,188.7,2565.3,493.8,1994.8,76.7
"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",,799872.0,,,,,,,,,
,Includes Ventura County,,,,,,,,,,
,City of Oxnard,186367.0,845.0,9.0,33.0,453.0,350.0,4275.0,866.0,2869.0,540.0
,City of Thousand Oaks,125196.0,146.0,2.0,19.0,38.0,87.0,1942.0,424.0,1407.0,111.0
,City of Ventura,104523.0,368.0,1.0,27.0,151.0,189.0,3827.0,746.0,2733.0,348.0
,City of Camarillo,63238.0,94.0,0.0,8.0,22.0,64.0,1062.0,205.0,794.0,63.0
,Total area actually reporting,1.0,2120.0,17.0,140.0,821.0,1142.0,17291.0,3436.0,12226.0,1629.0
,"Rate per 100,000 inhabitants",,265.0,2.1,17.5,102.6,142.8,2161.7,429.6,1528.5,203.7
"Palm Bay-Melbourne-Titusville, FL M.S.A.",,538226.0,,,,,,,,,
,Includes Brevard County,,,,,,,,,,
,City of Palm Bay,100666.0,617.0,5.0,28.0,104.0,480.0,2808.0,881.0,1726.0,201.0
,City of Melbourne,77678.0,787.0,2.0,15.0,174.0,596.0,3942.0,926.0,2741.0,275.0
,City of Titusville,44467.0,373.0,5.0,33.0,90.0,245.0,1794.0,475.0,1054.0,265.0
,Total area actually reporting,1.0,3776.0,32.0,185.0,712.0,2847.0,18637.0,4792.0,12483.0,1362.0
,"Rate per 100,000 inhabitants",,701.6,5.9,34.4,132.3,529.0,3462.7,890.3,2319.3,253.1
"Palm Coast, FL M.S.A.",,88451.0,,,,,,,,,
,Includes Flagler County,,,,,,,,,,
,Total area actually reporting,1.0,288.0,4.0,18.0,54.0,212.0,2432.0,608.0,1657.0,167.0
,"Rate per 100,000 inhabitants",,325.6,4.5,20.4,61.1,239.7,2749.5,687.4,1873.4,188.8
"Panama City-Lynn Haven, FL M.S.A.",,164360.0,,,,,,,,,
,Includes Bay County,,,,,,,,,,
,City of Panama City,36840.0,366.0,7.0,32.0,90.0,237.0,2271.0,399.0,1734.0,138.0
,City of Lynn Haven,16110.0,49.0,0.0,10.0,4.0,35.0,460.0,181.0,255.0,24.0
,Total area actually reporting,1.0,990.0,8.0,106.0,171.0,705.0,6839.0,1569.0,4870.0,400.0
,"Rate per 100,000 inhabitants",,602.3,4.9,64.5,104.0,428.9,4161.0,954.6,2963.0,243.4
"Parkersburg-Marietta-Vienna, WV-OH M.S.A.",,160687.0,,,,,,,,,
,"Includes Washington County, OH and Pleasants, Wirt, and Wood Counties, WV",,,,,,,,,,
,"City of Parkersburg, WV",31562.0,68.0,1.0,11.0,18.0,38.0,1468.0,286.0,1077.0,105.0
,"City of Marietta, OH",14128.0,25.0,0.0,10.0,7.0,8.0,536.0,117.0,406.0,13.0
,"City of Vienna, WV",10667.0,16.0,0.0,3.0,3.0,10.0,291.0,28.0,257.0,6.0
,Total area actually reporting,0.979,278.0,4.0,44.0,31.0,199.0,3845.0,859.0,2778.0,208.0
,Estimated total,1.0,284.0,4.0,44.0,33.0,203.0,3948.0,877.0,2857.0,214.0
,"Rate per 100,000 inhabitants",,176.7,2.5,27.4,20.5,126.3,2457.0,545.8,1778.0,133.2
"Pascagoula, MS M.S.A.",,153177.0,,,,,,,,,
,Includes George and Jackson Counties,,,,,,,,,,
,City of Pascagoula,23555.0,122.0,3.0,17.0,97.0,5.0,1701.0,580.0,932.0,189.0
,Total area actually reporting,0.875,356.0,12.0,48.0,161.0,135.0,5672.0,1685.0,3318.0,669.0
,Estimated total,1.0,387.0,13.0,52.0,167.0,155.0,6090.0,1800.0,3577.0,713.0
,"Rate per 100,000 inhabitants",,252.6,8.5,33.9,109.0,101.2,3975.8,1175.1,2335.2,465.5
