Record - metadata - oai_dc:dc - xsi:schemaLocation	dc:subject	Record - metadata - oai_dc:dc - dc:subject - xsi:type	Record - metadata - oai_dc:dc - dc:subject - ddb:GND-Nr	dc:creator	dc:type	Record - metadata - oai_dc:dc - dc:audience	dc:identifier	dc:rights	dc:title	dc:format	dc:date	dc:language	dc:description	Record - metadata - oai_dc:dc - dc:relation	dc:contributor	dc:publisher	dc:source	Record - header - setSpec	Record - header - datestamp
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Fischer, Ralf	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/53	info:eu-repo/semantics/openAccess	Recht auf öffentlichen Raum : eine Untersuchung am Beispiel öffentlicher Räume in Hamburg unter planerischen Gerechtigkeitsaspekten	application/pdf	2013-01-01	ger	"Im Rahmen der vorliegenden Master-Thesis Recht auf öffentlichen Raum soll untersucht werden, welche moralischen Motive – unter Berücksichtigung ethischer Gesichtspunkte – für das gute Handeln des Planenden vorliegen. Wenn man voraussetzt, dass Planende in ihrem beruflichen Handeln die Lebensqualität ihrer Mitmenschen beeinflussen können, lohnt es sich vor diesem Hintergrund, die Wechselseitigkeit zwischen Planung und Ethik einleuchtend zu untersuchen.
Konkret soll in dieser Thesis daher das Verhältnis folgender Fragen
zueinander beleuchtet werden: Auf der einen Seite, was wird in der Planung
getan? Auf der anderen Seite, was sollte in der Planung getan werden? Dieses Verhältnis stellt den Ausgangspunkt des wissenschaftlichen Erkenntnisinteresses der ersten Forschungsphase der vorliegenden Arbeit dar..."					com_hcu_13	2023-01-27T09:34:24Z
	Öffentlicher Raum			Schmidt, Florian	doc-type:masterThesis	Students												col_hcu_31	
	Hamburg																	open_access	
	Stadtplanung																	ddc:710	
	Gerechtigkeit																	doc-type:masterThesis	
	Ethik																		
	ddc:710																		
	Öffentlicher Raum	xMetaDiss:GND	4172385-5																
	Hamburg	xMetaDiss:GND																	
	Stadtplanung	xMetaDiss:GND	4056754-0																
	Gerechtigkeit	xMetaDiss:GND																	
	Ethik	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Meyer, Sebastian	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/55	info:eu-repo/semantics/openAccess	Die Ausnahme bestätigt die Regel? : unternehmerische Planungspraxis im Frankfurt am Main der 1950er und 1960er Jahre	application/pdf	2013-01-01	ger	"Die vorliegende Bachelorarbeit diskutiert die Gründe für das in Deutschland beispiellose Laissez-faire der Stadtplanungspraxis in Frankfurt am Main in den 1950er und 1960er Jahren. In diesen ersten zwei Jahrzehnten der Bundesrepublik Deutschland entstanden in der Mainmetropole zahlreiche Hochhäuser, obwohl deren Neubau durch die geltenden Baupolizeiverordnungen oder Bebauungspläne nicht zugelassen war. Lediglich die massenhafte Erteilung von Sondergenehmigungen seitens der Frankfurter Behörden
ermöglichte den Bauherren, die in Art und Maß scheinbar beliebig von der Bauleitplanung abweichenden Entwürfe ihrer Architekten dennoch umzusetzen.
Um einen Einblick in die Beweggründe für die in der damaligen Zeit scheinbar zur Regel gewordene Gewährung von Ausnahmen zu gewähren, bemüht sich diese Arbeit, zunächst die Theorien des Fordismus und des Postfordismus zu umreißen und im Anschluss mit Hilfe der gewonnenen Erkenntnisse das Handlungsmuster der Frankfurter Stadtpolitik in den Kontext der unternehmerischen Stadt einzuordnen und zu deuten. Schließlich wird festgestellt, dass die investitionsfreundliche Frankfurter Baupolitik
sichtbarer Ausdruck städtischen Wettbewerbs ist und die Theorie der unternehmerischen Stadt nicht bloß in postfordistischen Zentren in Zeiten der Globalisierung Anwendung finden kann; vielmehr zeigt die Planungspraxis Frankfurts, dass die Konkurrenz der Städte und die daraus resultierende unternehmerische Politik schon zu Zeiten des Hochfordismus prägenden Einfluss auf den Städtebau genommen haben und daher anzunehmen ist, dass die Theorie der unternehmerischen Stadt kein explizit postfordistisches Phänomen darstellt, sondern in Abhängigkeit lokaler städtischer Spezifika epochenübergreifend zur Deutung städtebaulicher Politik dienen kann."		Heinemann, Tim			com_hcu_13	2023-01-27T09:23:34Z
	Frankfurt am Main				doc-type:bachelorThesis	Students												col_hcu_31	
	Stadtplanung																	open_access	
	Geschichte 1950-1960																	ddc:710	
	ddc:710																	doc-type:bachelorThesis	
	Frankfurt am Main	xMetaDiss:GND																	
	Stadtplanung	xMetaDiss:GND	4056754-0																
	Geschichte 1950-1960	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Friedel, Lasse	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/56	info:eu-repo/semantics/openAccess	Die zentrale Zone der City Nord : Entwicklungsperspektiven zwischen Konservierung und Überformung	application/pdf	2014-01-01	ger						com_hcu_13	2023-01-27T09:44:30Z
	City-Nord Hamburg				doc-type:masterThesis	Students												col_hcu_31	
	ddc:710																	open_access	
	City-Nord Hamburg	xMetaDiss:GND																ddc:710	
																		doc-type:masterThesis	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Wortmann, Stephan	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/57	info:eu-repo/semantics/openAccess	Perspektiven städtebaulicher Nachverdichtung in Hamburg-Billwerder vor dem Hintergrund des Landschaftsschutzes	application/pdf	2014-01-01	ger			Koch, Michael			com_hcu_13	2023-01-27T09:20:13Z
	Nachverdichtung				doc-type:bachelorThesis	Students												col_hcu_31	
	Landschaftsschutz																	open_access	
	Kulturlandschaft																	ddc:710	
	Hamburg-Billwerder																	doc-type:bachelorThesis	
	Marschlande																		
	ddc:710																		
	Nachverdichtung	xMetaDiss:GND																	
	Landschaftsschutz	xMetaDiss:GND																	
	Kulturlandschaft	xMetaDiss:GND																	
	Hamburg-Billwerder	xMetaDiss:GND																	
	Marschlande	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Festivalisierung			Dehsabzi, Lema	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/60	info:eu-repo/semantics/openAccess	Festivalisierung der Stadtteilentwicklung : eine Untersuchung von stadtteilbezogenen Events im Hamburger Entwicklungsraum Billstedt-Horn	application/pdf	2013-01-01	ger			Thiel, Joachim			com_hcu_13	2023-01-26T15:56:18Z
	710: Landschaftsgestaltung, Raumplanung				doc-type:bachelorThesis	Students												col_hcu_31	
	Großveranstaltung																	open_access	
	Stadtentwicklung																	ddc:710	
	ddc:710																	doc-type:bachelorThesis	
	Großveranstaltung	xMetaDiss:GND																	
	Stadtentwicklung	xMetaDiss:GND	4056730-8																
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Bruns, Florian	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/62	info:eu-repo/semantics/openAccess	Renaissance großer Pläne? : Stadtentwicklungsplanung und Wandel des Planungsverständnisses am Beispiel Hamburg	application/pdf	2011-01-01	ger			Othengrafen, Frank			com_hcu_13	2023-01-27T09:23:35Z
	Stadtplanung				doc-type:bachelorThesis	Students												col_hcu_31	
	Hamburg																	open_access	
	ddc:710																	ddc:710	
	Stadtplanung	xMetaDiss:GND	4056754-0															doc-type:bachelorThesis	
	Hamburg	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Margitan, Jennifer	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/64	info:eu-repo/semantics/openAccess	Region-Making : ein neues Werkzeug für eine regionale Zusammengehörigkeit? ; Wege zur Selbstverwirklichung im Ruhrgebiet	application/pdf	2011-01-01	ger			Krüger, Thomas			com_hcu_13	2023-01-27T09:23:34Z
	Ruhrgebiet				doc-type:bachelorThesis	Students												col_hcu_31	
	Metropolregion																	open_access	
	Regionalplanung																	ddc:710	
	ddc:710																	doc-type:bachelorThesis	
	Ruhrgebiet	xMetaDiss:GND																	
	Metropolregion	xMetaDiss:GND																	
	Regionalplanung	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Wilkens, Matthias	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/65	info:eu-repo/semantics/openAccess	Geschäftsfeld Smart City : Eintrittsstrategien neuer Akteure in die Stadtentwicklung	application/pdf	2014-01-01	ger	"Die Unternehmen, die im Fokus dieser Arbeit stehen, blicken auf langfristige
Erfahrungen im weltweiten Wirtschaftsgefüge zurück. Ihre Technologielösungen
sind Teil der globalen Expansion (vgl. Townsend 2013, S. xiii). Diese Erfahrung
wollen die Unternehmen künftig auch auf die Stadt anwenden, um sich ein neues
Geschäftsfeld zu erschließen und ihre Marktmacht zu vergrößern. Jedoch
bedenken die Konzerne dabei nicht, dass Städte einer viel umfassenderen
Komplexität unterliegen als Auftraggeber aus der freien Wirtschaft (ebd., S. 224).
Die neuen Akteure müssen daher Wege finden, Städte zu verstehen (vgl. Knirsch
2014) und Strategien entwickeln, wie sie sich den Markt der Stadtentwicklung
zugänglich machen können. Aus diesem Grund beschäftigt sich die vorliegende
Arbeit mit der forschungsleitenden Frage, mit welchen Eintrittsstrategien sich
neue Akteure Zugang in die Stadtentwicklung verschaffen.
Die Unternehmen folgen damit dem Leitbild der Smart City, neue Formen der
Zusammenarbeit anzuregen (vgl. Tiede 2014). Ziel der Arbeit ist es, herauszufinden, welche Strategien die globalen Firmen anwenden, um sich den Smart City Markt zugänglich zu machen. Darüber hinaus ist es von Interesse zu evaluieren, inwieweit sich diese Strategien an Vorbildern (wissenschaftlich und aus der Praxis) orientieren. Daraus folgend soll die vorliegende Arbeit Aufschluss darüber geben, wie nachhaltig die Eintrittsstrategien für Städte und Unternehmen sind und inwieweit Anpassungsbedarf besteht."		Thiel, Joachim			com_hcu_13	2023-01-27T09:20:13Z
	ddc:710				doc-type:bachelorThesis	Students												col_hcu_31	
																		open_access	
																		ddc:710	
																		doc-type:bachelorThesis	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Dehn, Patrick	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/67	info:eu-repo/semantics/openAccess	Green growth in der STRING-Region : nachhaltiges Wachstum durch transnationale Zusammenarbeit an der Ostsee	application/pdf	2014-01-01	ger			Knieling, Jörg			com_hcu_13	2023-01-26T15:52:53Z
	Kooperation				doc-type:bachelorThesis	Students												col_hcu_31	
	Ostseeraum																	open_access	
	Nachhaltigkeit																	ddc:710	
	ddc:710																	doc-type:bachelorThesis	
	Kooperation	xMetaDiss:GND																	
	Ostseeraum	xMetaDiss:GND																	
	Nachhaltigkeit	xMetaDiss:GND	4326464-5																
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Rupprecht, Marc	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/68	info:eu-repo/semantics/openAccess	Der demographische Wandel in Schleswig-Hostein und seine Auswirkungen auf den Rettungsdienst	application/pdf	2014-01-01	ger						com_hcu_13	2023-01-27T09:30:27Z
	Rettungswesen				doc-type:masterThesis	Students												col_hcu_31	
	Kooperation																	open_access	
	Bevölkerungsentwicklung																	ddc:710	
	Schleswig-Holstein																	doc-type:masterThesis	
	ddc:710																		
	Rettungswesen	xMetaDiss:GND																	
	Kooperation	xMetaDiss:GND																	
	Bevölkerungsentwicklung	xMetaDiss:GND																	
	Schleswig-Holstein	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Dittmer, Daniel	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/69	info:eu-repo/semantics/openAccess	Rahmenbedingungen kommunalen Klimaschutzes : unter welchen Rahmenbedingungen kann der kommunale Klimaschutz in Deutschland gelingen, und wo sind ihm Grenzen gesetzt?	application/pdf	2011-01-01	ger	Die Bachelorarbeit setzt sich mit dem Begriff des kommunalen Klimaschutzes auseinander. Anhand der Untersuchung von fünf beispielhaften Siedlungsprojekten wird der Versuch unternommen, die Substanz, Möglichkeiten und vor allem die Rahmenbedingungen kommunalen Klimaschutzes aufzuzeigen. Die Eingangsthese, nach der weniger das Instrumentarium sondern eben die genannten Rahmenbedingungen der ausschlaggebende Faktor sind, findet sich dabei ansatzweise bestätigt. Die Arbeit wirft zudem die Frage auf, inwiefern es die Kompetenz und Aufgabe der Kommunen ist, globalen Klimaschutz zu betreiben. Das Ergebnis lautet, kommunalen Klimaschutz als sozialen Prozess zu betrachten, der nicht als alleiniges Ziel eines Projektes stehen kann, sondern innerhalb eines Zielkorridors in Verknüpfung zu weiteren Aufgabenfeldern der Stadtplanung eingeordnet werden muss. Synergieeffekte und erfolgreiche Umsetzung finden gerade dort statt, wo Klimaschutz beispielsweise mit sozialer Stadtteilentwicklung einhergeht.		Wickel, Martin			com_hcu_13	2023-01-27T09:13:02Z
	Klimaschutz				doc-type:bachelorThesis	Students							The bachelor thesis deals with the concept of climate protection in local authorities. Based on the study of five exemplary urban projects, an attempt is made to show the substance, possibilities and especially general conditions of local climate protection. The input argument which states that fewer the tools than just the mentioned conditions are the determining factor, is found here to some extent confirms. The work raises the question to what extent it is the competence and responsibility of local authorities to engage in global climate. The result is to consider local climate protection as a social process that cannot stand as the sole goal of a project, but has to be classified within a target corridor linked to other tasks of urban planning needs. Synergies and successful implementation are currently taking place where climate protection is associated with for example social urban development.					col_hcu_31	
	Stadtplanung																	open_access	
	ddc:710																	ddc:710	
	Klimaschutz	xMetaDiss:GND																doc-type:bachelorThesis	
	Stadtplanung	xMetaDiss:GND	4056754-0																
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Polzin, Nils	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/70	info:eu-repo/semantics/openAccess	Cities in conflict : neue Konflikte und Lösungsmöglichkeiten ; zwischen moralischer Empörung und gezieltem Aktionismus. Inwiefern können systemkritische Bewegungen wie das Bündnis Recht auf Stadt in Hamburg die lokale Stadtentwicklung beeinflussen	application/pdf	2015-01-01	ger			Knieling, Jörg			com_hcu_13	2023-01-27T09:12:08Z
	Kommunalpolitik				doc-type:bachelorThesis	Students												col_hcu_31	
	Protestbewegung																	open_access	
	Stadtentwicklung																	ddc:710	
	ddc:710																	doc-type:bachelorThesis	
	Kommunalpolitik	xMetaDiss:GND																	
	Protestbewegung	xMetaDiss:GND																	
	Stadtentwicklung	xMetaDiss:GND	4056730-8																
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Belloni, Guido	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/71	info:eu-repo/semantics/openAccess	UNSETTLED : Solidarity networks, coping strategies, resistance in contemporary urban areas ; the case of 300 african refugees between Itay and Hamburg	application/pdf	2013-01-01	eng						com_hcu_13	2023-01-27T09:28:54Z
	Flüchtling				doc-type:masterThesis	Students												col_hcu_31	
	Migration																	open_access	
	ddc:710																	ddc:710	
	Flüchtling	xMetaDiss:GND																doc-type:masterThesis	
	Migration	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Hüls, Immo	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/74	info:eu-repo/semantics/openAccess	Bildraum Stadt : vom Nutzen einer Webapplikation am Beispiel Bremerhaven	application/pdf	2013-01-01	ger	"Ziel dieser Arbeit ist es, eine internetbasierte Anwendungssoftware  „Webapplikation“) zu entwickeln, die es ermöglicht, historische Fotos und Karten einer Stadt ortsbezogen darzustellen und sinnvoll mobil nutzbar zu machen. Im Sinne einer verstärkten Bürgerbeteiligung werden dabei auch Möglichkeiten der Partizipation berücksichtigt. Darüber hinaus beansprucht die Arbeit, am Beispiel Bremerhavens darzulegen, welche positiven Effekte auf die Stadtentwicklung von einer optimalen Verfügbarkeit historischen Bildmaterials
voraussichtlich zu erwarten sind. Dies geschieht in mehreren Schritten: Am Anfang steht der Nachweis, dass – über den physischen Raum hinaus – so etwas wie ein „Bildraum Stadt“ existiert und dass dieser heutzutage
planerisch höchst relevant ist. Danach sollen die Ungleichgewichte im „Bildraum Bremerhaven“ herausgearbeitet werden, um schließlich aufzeigen zu können, welcher konkrete Mehrwert mit der selbst entwickelten Webapplikation verbunden ist. Ziel ist es, in diesem Zusammenhang auch die Übertragbarkeit auf andere Städte und damit die generelle stadtplanerische Relevanz zu verdeutlichen."		Koch, Michael			com_hcu_13	2023-01-27T09:20:13Z
