Ref. No.,Supplier Name,Payment Date,Invoice NET £,Directorate,Cost Type
Aug11475,BRYEN & LANGLEY LIMITED#NEW,2-Aug-10,"66,000.00","Children, Families & Education",Building Works - Main Contract
Aug11539,JENNER (CONTRACTORS) LTD#NEW,2-Aug-10,"82,075.00","Children, Families & Education",Building Works - Main Contract
Aug11567,GSE DESIGN & BUILD LTD#NEW,2-Aug-10,"93,120.00","Children, Families & Education",Building Works - Main Contract
Aug11626,F M CONWAY LTD#NEW,2-Aug-10,"110,200.00","Children, Families & Education",Building Works - Main Contract
Aug11839,CARILLION CONSTRUCTION LTD#NEW,2-Aug-10,"1,526,436.00","Children, Families & Education",Building Works - Main Contract
Aug11870,ELEMENT UK LTD,2-Aug-10,522.00,Communities,Contract Cleaning
Aug11897,BBC AUDIOBOOKS LIMITED,2-Aug-10,545.94,Communities,"Books, Publications and Newspapers etc"
Aug11910,KENT COUNTY COUNCIL,2-Aug-10,560.01,Communities,Electricity
Aug11969,BT CONVERGENT SOLUTIONS LTD,2-Aug-10,619.20,Communities,Computer and Other IT Expenditure (Hardware)
Aug12037,BEDFORD DESIGN ASSOCIATES LIMITED,2-Aug-10,710.00,Communities,Printing and photocopying
Aug12092,KENT COUNTY COUNCIL,2-Aug-10,813.26,Communities,Electricity
Aug12098,ANTON FRENCH#CT4 7AN,2-Aug-10,830.00,Communities,Specialists Fees
Aug12146,CHANGE,2-Aug-10,942.00,Communities,"Books, Publications and Newspapers etc"
Aug12164,OCN,2-Aug-10,"1,000.00",Communities,Examination Fees
Aug12185,KENT TOP TEMPS LTD,2-Aug-10,"1,040.00",Communities,Public Transport (Officers and Members)
Aug12188,SIMON VERSPEAK,2-Aug-10,"1,045.00",Communities,Specialists Fees
Aug12196,BBC AUDIOBOOKS LIMITED,2-Aug-10,"1,088.40",Communities,"Books, Publications and Newspapers etc"
Aug12374,SWADELANDS SCHOOL#ME17 2QJ,2-Aug-10,"2,500.00",Communities,Capital Grants and Advances
Aug12375,CRAGG MANAGEMENT SERVICES LTD,2-Aug-10,"2,500.00",Communities,Design Fees - External
Aug12404,ARKAS LIMITED#NEW,2-Aug-10,"2,886.00",Communities,"Repairs, Alterations and Maintenance of Buildings"
Aug12433,ARKAS LIMITED#NEW,2-Aug-10,"3,379.00",Communities,"Repairs, Alterations and Maintenance of Buildings"
Aug12456,NIMBLE FISH LIMITED#CT13 9HU,2-Aug-10,"4,000.00",Communities,Specialists Fees
Aug12536,UNITED KINGDOM ACCREDITATION SERVICE,2-Aug-10,"7,593.07",Communities,Specialists Fees
Aug12547,DURABLE CONTRACTS LTD#NEW,2-Aug-10,"8,530.00",Communities,"Repairs, Alterations and Maintenance of Buildings"
Aug12619,GRUMMANT (HEATING & PLUMBING SERVICES) LTD#NEW,2-Aug-10,"44,947.54",Communities,Building Works - Main Contract
Aug12641,R DURTNELL & SONS LTD#NEW,2-Aug-10,"860,000.00",Communities,Building Works - Main Contract
Aug12642,GAB ROBINS UK LTD,2-Aug-10,500.00,IF Insurance,Property Claims
Aug12697,LONDON BOROUGH OF LAMBETH,2-Aug-10,"8,333.09",Pensions,Transfer Out
Aug15,KENT TOP TEMPS LTD,3-Aug-10,805.12,"Environment, Highways & Waste",Agency Staff
Aug16,KENT TOP TEMPS LTD,3-Aug-10,856.80,"Environment, Highways & Waste",Sundry Debtors - General
Aug17,KENT TOP TEMPS LTD,3-Aug-10,"12,400.00","Environment, Highways & Waste",Sundry Debtors - General
Aug18,KENT TOP TEMPS LTD,3-Aug-10,"3,111.50","Environment, Highways & Waste",Sundry Debtors - General
Aug19,KENT TOP TEMPS LTD,3-Aug-10,"1,102.50","Environment, Highways & Waste",Sundry Debtors - General
Aug20,KENT TOP TEMPS LTD,3-Aug-10,"1,543.50","Environment, Highways & Waste",Sundry Debtors - General
Aug21,KENT TOP TEMPS LTD,3-Aug-10,"1,102.50","Environment, Highways & Waste",Sundry Debtors - General
Aug22,KENT TOP TEMPS LTD,3-Aug-10,"1,105.00","Environment, Highways & Waste",Sundry Debtors - General
Aug23,BURO HAPPOLD LIMITED#BA2 3DQ,3-Aug-10,"21,979.30","Environment, Highways & Waste",Sundry Debtors - General
Aug24,EAST KENT ESTATES,3-Aug-10,"4,581.96","Environment, Highways & Waste",Private Contractors
Aug25,ENVIRONMENTAL RESOURCES MANAGEMENT,3-Aug-10,"5,216.26","Environment, Highways & Waste",Specialists Fees
Aug26,IBBETT MOSELY,3-Aug-10,"26,327.07","Environment, Highways & Waste",Sundry Debtors - General
Aug27,KEYCRAFT,3-Aug-10,691.44,"Environment, Highways & Waste","Equipment, Furniture and Materials and Livestock"
Aug28,LUKE BRISTOW#CM0 8JE,3-Aug-10,"1,000.00","Environment, Highways & Waste",External Training
Aug29,VERDANT GROUP LTD,3-Aug-10,"33,262.12","Environment, Highways & Waste",Private Contractors
Aug30,VERDANT GROUP LTD,3-Aug-10,"41,303.98","Environment, Highways & Waste",Private Contractors
Aug31,VERDANT GROUP LTD,3-Aug-10,"29,241.57","Environment, Highways & Waste",Private Contractors
Aug32,VERDANT GROUP LTD,3-Aug-10,"40,246.07","Environment, Highways & Waste",Private Contractors
Aug33,VERDANT GROUP LTD,3-Aug-10,"61,751.95","Environment, Highways & Waste",Private Contractors
Aug34,VERDANT GROUP LTD,3-Aug-10,"35,442.00","Environment, Highways & Waste",Private Contractors
Aug35,VERDANT GROUP LTD,3-Aug-10,"37,607.42","Environment, Highways & Waste",Private Contractors
Aug36,VERDANT GROUP LTD,3-Aug-10,"2,698.89","Environment, Highways & Waste",Private Contractors
Aug37,VERDANT GROUP LTD,3-Aug-10,"1,873.94","Environment, Highways & Waste",Private Contractors
Aug38,LAMB-LATORE LTD#NEW,3-Aug-10,"2,550.22","Environment, Highways & Waste",Private Contractors
Aug39,LAMB-LATORE LTD#NEW,3-Aug-10,830.00,"Environment, Highways & Waste",Private Contractors
Aug40,LITTLETHORPE OF LEICESTER LTD#NEW,3-Aug-10,"4,840.00","Environment, Highways & Waste",Sundry Debtors - General
Aug41,OPENREACH/BRITISH-TELECOM PLC#NEW/CABLING,3-Aug-10,"1,897.57","Environment, Highways & Waste",Sundry Debtors - General
Aug42,OPENREACH/BRITISH-TELECOM PLC#NEW/CABLING,3-Aug-10,"71,805.52","Environment, Highways & Waste",Sundry Debtors - General
Aug43,KENT COUNTY COUNCIL,3-Aug-10,"1,573.33","Environment, Highways & Waste",Sundry Debtors - General
Aug44,KENT COUNTY COUNCIL,3-Aug-10,"12,500.00","Environment, Highways & Waste",Specialists Fees
Aug45,KENT COUNTY COUNCIL,3-Aug-10,"1,554.00","Environment, Highways & Waste",Sundry Debtors - General
Aug46,KENT COUNTY COUNCIL,3-Aug-10,"1,370.00","Environment, Highways & Waste",Sundry Debtors - General
Aug47,DOVER DISTRICT COUNCIL,3-Aug-10,"1,000.00","Environment, Highways & Waste",Grants
Aug48,DOVER DISTRICT COUNCIL,3-Aug-10,500.00,"Environment, Highways & Waste",Grants
Aug49,SURREY COUNTY COUNCIL,3-Aug-10,"1,600.00","Environment, Highways & Waste",Specialists Fees
Aug50,TONBRIDGE & MALLING BOROUGH COUNCIL,3-Aug-10,"6,031.93","Environment, Highways & Waste",Other Local Authorities
Aug916,CNCA LTD#COMMUNITY NURSING CARE AGENCY LTD,3-Aug-10,506.44,Adult Services,Private Contractors
Aug938,KENT COUNTY COUNCIL,3-Aug-10,517.56,Adult Services,Other Energy Costs
Aug992,KENT COUNTY COUNCIL,3-Aug-10,542.15,Adult Services,Other Energy Costs
Aug997,KENT COUNTY COUNCIL,3-Aug-10,545.00,Adult Services,Personal Expenses/Adaptations
Aug1016,KENT COUNTY COUNCIL,3-Aug-10,558.66,Adult Services,Other Energy Costs
Aug1025,SCOTTS PROJECT TRUST,3-Aug-10,560.40,Adult Services,Private Contractors
Aug1030,P A GRANT ELECTRICAL LTD#NEW,3-Aug-10,562.03,Adult Services,"Repairs, Alterations and Maintenance of Buildings"
Aug1031,KENT COUNTY COUNCIL,3-Aug-10,562.07,Adult Services,Other Energy Costs
Aug1041,THE POPLARS NURSING HOME,3-Aug-10,566.07,Adult Services,Private Contractors
Aug1051,ALLIED HEALTHCARE GROUP LTD,3-Aug-10,572.16,Adult Services,Private Contractors
Aug1081,KENT COUNTY COUNCIL,3-Aug-10,595.00,Adult Services,Personal Expenses/Adaptations
Aug1082,KENT COUNTY COUNCIL,3-Aug-10,595.00,Adult Services,Personal Expenses/Adaptations
Aug1083,KENT COUNTY COUNCIL,3-Aug-10,595.00,Adult Services,Personal Expenses/Adaptations
Aug1084,KENT COUNTY COUNCIL,3-Aug-10,595.00,Adult Services,Personal Expenses/Adaptations
Aug1122,KENT COUNTY COUNCIL,3-Aug-10,605.45,Adult Services,Other Energy Costs
Aug1149,KENT COUNTY COUNCIL,3-Aug-10,617.80,Adult Services,Capital Grants and Advances
Aug1195,KENT COUNTY COUNCIL,3-Aug-10,647.38,Adult Services,Electricity
Aug1215,MONTAGU HOUSE,3-Aug-10,657.30,Adult Services,Private Contractors
Aug1226,KENT COUNTY COUNCIL,3-Aug-10,662.65,Adult Services,Electricity
Aug1271,KENT COUNTY COUNCIL,3-Aug-10,695.00,Adult Services,Personal Expenses/Adaptations
Aug1291,KENT TOP TEMPS LTD,3-Aug-10,712.23,Adult Services,Agency Staff
Aug1311,KENT TOP TEMPS LTD,3-Aug-10,722.63,Adult Services,Agency Staff
Aug1319,I R & P J BROOKER LTD#NEW,3-Aug-10,725.29,Adult Services,Capital Grants and Advances
Aug1390,KENT COUNTY COUNCIL,3-Aug-10,764.61,Adult Services,Other Energy Costs
Aug1414,KENT COUNTY COUNCIL,3-Aug-10,785.33,Adult Services,Other Energy Costs
Aug1470,KENT TOP TEMPS LTD,3-Aug-10,821.44,Adult Services,Agency Staff
Aug1519,KENT COUNTY COUNCIL,3-Aug-10,867.98,Adult Services,Other Energy Costs
Aug1524,PETER SWINBOURNE & NICHOLAS RAWLINS T/A DOVER BUILDING PROPERTY MAINTENANCE#NEW,3-Aug-10,874.20,Adult Services,"Repairs, Alterations and Maintenance of Buildings"
Aug1529,EXPRESS ELEVATORS LTD#NEW,3-Aug-10,880.00,Adult Services,Personal Expenses/Adaptations
Aug1540,KENT COUNTY COUNCIL,3-Aug-10,883.30,Adult Services,Other Energy Costs
Aug1543,KENT COUNTY COUNCIL,3-Aug-10,885.70,Adult Services,Other Energy Costs
Aug1556,NORTHGATE INFORMATION SOLUTIONS UK LIMITED#CHANGE OF NAME AWAITING INV AND BK DETAILS LETTER IN BLUE FOLDER,3-Aug-10,900.00,Adult Services,Computer and Other IT Expenditure (Software)
Aug1577,KENT COUNTY COUNCIL,3-Aug-10,917.79,Adult Services,Other Energy Costs
Aug1606,SOUTHERN WATER,3-Aug-10,931.80,Adult Services,Water Charges and Sewerage and Environmental Services
Aug1608,KENT TOP TEMPS LTD,3-Aug-10,935.41,Adult Services,Agency Staff
Aug1612,KENT COUNTY COUNCIL,3-Aug-10,940.00,Adult Services,Other Energy Costs
Aug1618,ROCKDALE HOUSING ASSOCIATION LTD,3-Aug-10,949.78,Adult Services,Voluntary Associations
Aug1620,EVERYCARE MEDWAY/SWALE LTD,3-Aug-10,950.60,Adult Services,Private Contractors
Aug1627,KENT COUNTY COUNCIL,3-Aug-10,957.94,Adult Services,Other Energy Costs
Aug1660,KENT COUNTY COUNCIL,3-Aug-10,991.55,Adult Services,Other Energy Costs
Aug1665,KENT COUNTY COUNCIL,3-Aug-10,995.68,Adult Services,Other Energy Costs
Aug1667,KENT COUNTY COUNCIL,3-Aug-10,996.71,Adult Services,Other Energy Costs
Aug1699,KENT TOP TEMPS LTD,3-Aug-10,"1,035.04",Adult Services,Agency Staff
Aug1760,LEONARD CHESHIRE FOUNDATION,3-Aug-10,"1,098.71",Adult Services,Voluntary Associations
Aug1769,KENT COUNTY COUNCIL,3-Aug-10,"1,107.20",Adult Services,Capital Grants and Advances
Aug1802,PETER SWINBOURNE & NICHOLAS RAWLINS T/A DOVER BUILDING PROPERTY MAINTENANCE#NEW,3-Aug-10,"1,146.80",Adult Services,"Repairs, Alterations and Maintenance of Buildings"
Aug1854,KENT COUNTY COUNCIL,3-Aug-10,"1,179.49",Adult Services,Electricity
Aug1951,TUSKER HOUSE,3-Aug-10,"1,294.86",Adult Services,Private Contractors
Aug2103,D & J HOME SUPPORT AGENCY,3-Aug-10,"1,357.11",Adult Services,Private Contractors
Aug2229,KENT COUNTY COUNCIL,3-Aug-10,"1,426.03",Adult Services,Electricity
Aug2234,KENT COUNTY COUNCIL,3-Aug-10,"1,433.06",Adult Services,Other Energy Costs
Aug2244,D & J HOME SUPPORT AGENCY,3-Aug-10,"1,444.27",Adult Services,Private Contractors
Aug2364,NEOPOST LTD CREDIFON/RCB/AC,3-Aug-10,"1,500.00",Adult Services,Postages
Aug2485,LARKFIELD HALL LIMITED T/A PEPENBURY,3-Aug-10,"1,583.75",Adult Services,Private Contractors
Aug2656,KENT COUNTY COUNCIL,3-Aug-10,"1,606.16",Adult Services,Electricity
Aug2714,KENT COUNTY COUNCIL,3-Aug-10,"1,653.41",Adult Services,Electricity
Aug2737,SOUTHERN WATER,3-Aug-10,"1,675.42",Adult Services,Water Charges and Sewerage and Environmental Services
Aug2750,KENT COUNTY COUNCIL,3-Aug-10,"1,684.03",Adult Services,Electricity
Aug2802,SHERWOOD HOUSE RES HOME#ME1 3BU,3-Aug-10,"1,726.48",Adult Services,Private Contractors
Aug3047,KENT COUNTY FACILITIES LTD#NEW,3-Aug-10,"1,821.70",Adult Services,Personal Expenses/Adaptations
Aug3048,CARTREF HOMES UK LTD (NO 471369),3-Aug-10,"1,824.00",Adult Services,Private Contractors
Aug3059,KENT COUNTY COUNCIL,3-Aug-10,"1,832.46",Adult Services,Electricity
Aug3071,D H HOMECARE LIMITED#LL11 1BS,3-Aug-10,"1,844.92",Adult Services,Private Contractors
Aug3081,KENT COUNTY COUNCIL,3-Aug-10,"1,848.89",Adult Services,Electricity
Aug3212,HEATHERLEA HOUSE CARE HOME,3-Aug-10,"1,899.63",Adult Services,Private Contractors
Aug3391,KENT TOP TEMPS LTD,3-Aug-10,"1,989.40",Adult Services,Agency Staff
Aug3515,GARNER & COMPANY#SE9 4QW,3-Aug-10,"2,070.00",Adult Services,Capital Grants and Advances
Aug3611,FAIRBY GRANGE REST HOME,3-Aug-10,"2,152.97",Adult Services,Private Contractors
Aug3612,THE NEW PHOENIX TAXI COMPANY MAIDSTONE LTD T/A CAVALIER TAXIS#ME14 1EN,3-Aug-10,"2,155.00",Adult Services,Public Transport (Clients)
Aug3628,HOME CHOICE CARPETS#NEW,3-Aug-10,"2,179.57",Adult Services,"Repairs, Alterations and Maintenance of Buildings"
Aug3669,KENT COUNTY FACILITIES LTD#NEW,3-Aug-10,"2,215.86",Adult Services,Personal Expenses/Adaptations
Aug3674,KENT TOP TEMPS LTD,3-Aug-10,"2,224.30",Adult Services,Agency Staff
Aug3682,BUPA CARE SERVICES LIMITED,3-Aug-10,"2,235.06",Adult Services,Private Contractors
Aug4006,BRITISH TELECOM PLC # CALL CHARGES,3-Aug-10,"2,361.98",Adult Services,Telephone/ Fax Rental
Aug4050,LIFELINE HEALTH LIMITED T/A COMMUNITY LIFELINE,3-Aug-10,"2,423.96",Adult Services,Private Contractors
Aug4084,KAY & DEREK DOWN,3-Aug-10,"2,458.52",Adult Services,Private Contractors
Aug4186,KENT TOP TEMPS LTD,3-Aug-10,"2,711.90",Adult Services,Agency Staff
Aug4220,KENT COUNTY COUNCIL,3-Aug-10,"2,770.00",Adult Services,"Equipment, Furniture and Materials and Livestock"
Aug4228,KENT TOP TEMPS LTD,3-Aug-10,"2,792.16",Adult Services,Agency Staff
Aug4268,MEDIC-BATH CO LTD,3-Aug-10,"2,843.50",Adult Services,Capital Grants and Advances
Aug4271,AVANTE PARTNERSHIP#KCHT,3-Aug-10,"2,852.37",Adult Services,Private Contractors
Aug4282,KENT TOP TEMPS LTD,3-Aug-10,"2,899.82",Adult Services,Agency Staff
Aug4353,CELANDINE STRATEGIC HOUSING#HP17 8DT,3-Aug-10,"3,000.00",Adult Services,Specialists Fees
Aug4367,PETER SWINBOURNE & NICHOLAS RAWLINS T/A DOVER BUILDING PROPERTY MAINTENANCE#NEW,3-Aug-10,"3,026.80",Adult Services,"Repairs, Alterations and Maintenance of Buildings"
Aug4391,KENT COUNTY COUNCIL,3-Aug-10,"3,066.00",Adult Services,Capital Grants and Advances
Aug4413,SHOTTENDANE NURSING HOME,3-Aug-10,"3,102.23",Adult Services,Private Contractors
Aug4466,BARONSMEDE FAMILY HOME,3-Aug-10,"3,205.48",Adult Services,Private Contractors
Aug4467,BARONSMEDE FAMILY HOME,3-Aug-10,"3,205.48",Adult Services,Private Contractors
Aug4468,BARONSMEDE FAMILY HOME,3-Aug-10,"3,205.48",Adult Services,Private Contractors
Aug4489,AVANTE PARTNERSHIP#KCHT,3-Aug-10,"3,250.38",Adult Services,Voluntary Associations
Aug4608,MR MIKE SEARLE#TN14 7DR,3-Aug-10,"3,479.53",Adult Services,Private Contractors
Aug4613,KENT TOP TEMPS LTD,3-Aug-10,"3,489.84",Adult Services,Agency Staff
Aug4641,ST VINCENT'S HOSPITAL T/A ST VINCENT'S NURSING HOME,3-Aug-10,"3,580.00",Adult Services,Private Contractors
Aug4716,RNID,3-Aug-10,"3,787.60",Adult Services,Voluntary Associations
Aug4955,BARONSMEDE FAMILY HOME,3-Aug-10,"4,396.44",Adult Services,Private Contractors
Aug4956,BARONSMEDE FAMILY HOME,3-Aug-10,"4,396.44",Adult Services,Private Contractors
Aug4957,BARONSMEDE FAMILY HOME,3-Aug-10,"4,396.44",Adult Services,Private Contractors
Aug5014,THE GRANGE CENTRE,3-Aug-10,"4,601.42",Adult Services,Private Contractors
Aug5070,D & J HOME SUPPORT AGENCY,3-Aug-10,"4,812.11",Adult Services,Private Contractors
Aug5095,D & J HOME SUPPORT AGENCY,3-Aug-10,"4,955.42",Adult Services,Private Contractors
Aug5249,KINGSWOOD HOUSE,3-Aug-10,"5,600.00",Adult Services,Private Contractors
Aug5344,TUNBRIDGE WELLS BOROUGH COUNCIL,3-Aug-10,"6,113.00",Adult Services,National and Non Domestic Rates and Council Tax
Aug5369,THE NATIONAL AUTISTIC SOCIETY,3-Aug-10,"6,301.65",Adult Services,Private Contractors
Aug5388,SHOTTENDANE NURSING HOME,3-Aug-10,"6,437.12",Adult Services,Private Contractors
Aug5452,HOUSING 21#HP9 2NA,3-Aug-10,"6,823.35",Adult Services,Private Contractors
Aug5466,MEDWAY COUNCIL,3-Aug-10,"6,905.34",Adult Services,Other Local Authorities
Aug5651,KENT COUNTY COUNCIL,3-Aug-10,"8,292.00",Adult Services,Recharge of Pooled Transport Costs
Aug5939,HERITAGE CARE LTD,3-Aug-10,"12,403.09",Adult Services,Private Contractors
Aug5953,MAIDSTONE CARE CENTRE,3-Aug-10,"12,860.20",Adult Services,Private Contractors
Aug6086,KENT & MEDWAY NHS & SOCIAL CARE PARTNERSHIP TRUST,3-Aug-10,"17,108.66",Adult Services,District Health Authorities
Aug6108,LOOSE VALLEY NURSING HOME,3-Aug-10,"17,928.08",Adult Services,Private Contractors
Aug6213,MAIDSTONE CARE CENTRE,3-Aug-10,"30,049.14",Adult Services,Private Contractors
Aug6265,KENT ASSOCIATION FOR THE BLIND,3-Aug-10,"405,292.00",Adult Services,Grants
Aug6274,SANDOWN SCHOOL#CT14 6PY,3-Aug-10,611.69,Central Accounts,Sundry Creditors - Government Departments
Aug6307,CHRISTOPHER TIPPING,3-Aug-10,500.00,Chief Executives,Consultants
Aug6308,NEIL SPARKES,3-Aug-10,500.00,Chief Executives,Consultants
Aug6352,DELL COMPUTER CORPORATION LTD,3-Aug-10,529.22,Chief Executives,Computer and Other IT Expenditure (Hardware)
Aug6431,KENT TOP TEMPS LTD,3-Aug-10,637.50,Chief Executives,Consultants
Aug6445,KENT TOP TEMPS LTD,3-Aug-10,664.88,Chief Executives,Agency Staff
Aug6459,MR MUNGO WENBAN-SMITH#WC1R 5AH,3-Aug-10,705.00,Chief Executives,Legal Fees
Aug6501,KENT TOP TEMPS LTD,3-Aug-10,806.91,Chief Executives,Agency Staff
Aug6502,WSTORE UK LTD,3-Aug-10,810.52,Chief Executives,Computer and Other IT Expenditure (Hardware)
Aug6508,KENT TOP TEMPS LTD,3-Aug-10,823.50,Chief Executives,Agency Staff
Aug6526,MOUCHEL LTD,3-Aug-10,875.00,Chief Executives,Allocations (Within Corporation)
Aug6552,KENT TOP TEMPS LTD,3-Aug-10,941.63,Chief Executives,Agency Staff
Aug6600,BRITISH TELECOM PLC # CALL CHARGES,3-Aug-10,"1,017.00",Chief Executives,Telephone/ Fax Rental
Aug6603,KENT TOP TEMPS LTD,3-Aug-10,"1,027.50",Chief Executives,Agency Staff
Aug6608,SUPPLIES TEAM,3-Aug-10,"1,032.33",Chief Executives,Printing and photocopying
Aug6623,KENT TOP TEMPS LTD,3-Aug-10,"1,075.22",Chief Executives,Agency Staff
Aug6648,MOUCHEL LTD,3-Aug-10,"1,125.00",Chief Executives,Design Fees - External
Aug6650,KENT TOP TEMPS LTD,3-Aug-10,"1,142.44",Chief Executives,Agency Staff
Aug6655,KENT TOP TEMPS LTD,3-Aug-10,"1,149.72",Chief Executives,Agency Staff
Aug6658,KENT TOP TEMPS LTD,3-Aug-10,"1,153.08",Chief Executives,Agency Staff
Aug6680,KENT TOP TEMPS LTD,3-Aug-10,"1,209.00",Chief Executives,Agency Staff
Aug6707,HALLCONSULT,3-Aug-10,"1,326.63",Chief Executives,Private Contractors
Aug6757,CIVICA SERVICES LIMITED,3-Aug-10,"1,691.76",Chief Executives,Computer and Other IT Expenditure (Software)
Aug6781,KENT TOP TEMPS LTD,3-Aug-10,"1,815.00",Chief Executives,Design Fees - External
Aug6807,TICKETMASTER UK LTD,3-Aug-10,"2,005.25",Chief Executives,Miscellaneous
Aug6808,TICKETMASTER UK LTD,3-Aug-10,"2,005.25",Chief Executives,Miscellaneous
Aug6866,KENT TOP TEMPS LTD,3-Aug-10,"2,512.50",Chief Executives,Agency Staff
Aug6869,KENT TOP TEMPS LTD,3-Aug-10,"2,589.32",Chief Executives,Agency Staff
Aug6876,POWERMAIN LIMITED#NEW,3-Aug-10,"2,710.88",Chief Executives,"Repairs, Alterations and Maintenance of Buildings"
Aug6913,KENT TOP TEMPS LTD,3-Aug-10,"3,714.49",Chief Executives,Agency Staff
Aug6917,MEARS LTD#GL3 4AH,3-Aug-10,"3,865.88",Chief Executives,"Repairs, Alterations and Maintenance of Buildings"
Aug6939,KENT COUNTY COUNCIL,3-Aug-10,"4,549.52",Chief Executives,Electricity
Aug6940,KENT COUNTY COUNCIL,3-Aug-10,"4,549.52",Chief Executives,Electricity
Aug6944,KENT COUNTY COUNCIL,3-Aug-10,"4,881.28",Chief Executives,Electricity
Aug6946,KENT COUNTY COUNCIL,3-Aug-10,"5,146.75",Chief Executives,Electricity
Aug6951,KENT COUNTY COUNCIL,3-Aug-10,"5,311.96",Chief Executives,Electricity
Aug6953,KENT COUNTY COUNCIL,3-Aug-10,"5,340.97",Chief Executives,Electricity
Aug6955,KENT COUNTY COUNCIL,3-Aug-10,"5,429.56",Chief Executives,Electricity
Aug6961,KENT COUNTY COUNCIL,3-Aug-10,"5,946.44",Chief Executives,Electricity
Aug6962,KENT COUNTY COUNCIL,3-Aug-10,"5,946.44",Chief Executives,Electricity
Aug6966,KENT COUNTY COUNCIL,3-Aug-10,"6,203.92",Chief Executives,Electricity
Aug6967,KENT COUNTY COUNCIL,3-Aug-10,"6,203.92",Chief Executives,Electricity
Aug6991,BRITISH TELECOM PLC # CALL CHARGES,3-Aug-10,"8,038.25",Chief Executives,Telephone/ Fax Rental
Aug6994,BEVAN BRITTAN,3-Aug-10,"8,311.50",Chief Executives,Specialists Fees
Aug7010,MR STEPHEN WHALE,3-Aug-10,"10,075.63",Chief Executives,Legal Fees
